family,fund,regime,mode,im_regime,im_mode,im_flat,reanchor,scenario,c,seed,drawdown,client_defaults,cm_defaults,bcm_defaults,nbcm_defaults,deepest_waterfall,mutualised_l3,mutualised_l4,total_df,ccp_cash_used,im_open,im_peak,im_trough,im_mean,im_peak_to_trough,im_max_jump_pct,im_responsiveness,error
H2,kalman,stressed,tiered,flat12,flat,0.12,1,gapped,2.25,42,-37.32681702013182,22,0,0,0,0,0,0,612764392.5382972,0.0,6630981570.0,12117961800.0,6630981570.0,10408066981.363636,1.8274763203722795,0.2772365750972823,0.6573105919391422,
H2,kalman,stressed,tiered,flat12,flat,0.12,1,gapped,2.5,42,-40.501277854997085,27,0,0,0,0,0,0,683384660.5518183,0.0,6288036750.0,12375244800.0,6288036750.0,10427048431.363636,1.9680617801732792,0.3243809047394641,0.7689854635031494,
H2,kalman,stressed,tiered,static,static,0.05,1,gapped,4.0,42,-56.40945164327669,52,3,0,3,3,1,0,739064184.2399093,93452539.9160738,5810626294.325424,12817799295.500755,5810626294.325424,9856780302.722252,2.2059238791554083,0.40125261336821905,0.9579325949588133,
H2,kalman,stressed,tiered,flat12,flat,0.12,1,gapped,1.0,42,-18.768775501053668,3,0,0,0,0,0,0,523473907.11734915,0.0,7484532300.0,12440078100.0,7484532300.0,11104628010.0,1.6621049387414628,0.2509309900366119,0.5259468802855666,
H2,kalman,stressed,tiered,flat12,flat,0.12,1,gapped,1.25,42,-22.871362596960054,11,0,0,0,0,0,0,504777078.83033615,0.0,7398258120.0,12505395420.0,7398258120.0,10825666172.727272,1.690316182155591,0.29107429682380426,0.548356644349313,
H2,kalman,stressed,tiered,flat12,flat,0.12,1,gapped,1.5,42,-26.781150517867548,13,0,0,0,0,0,0,571267870.0099186,0.0,7257492000.0,12444428160.0,7257492000.0,10837089279.545454,1.7147009132080338,0.2959258942345373,0.567726796228882,
H2,kalman,stressed,tiered,flat05,flat,0.05,1,gapped,2.0,42,-33.97300811550016,21,0,0,0,0,0,0,1838492831.076997,0.0,2859522975.0,5043033450.0,2859522975.0,4329835984.090909,1.763592562147538,0.2813509349404686,0.6065641598054589,
H2,kalman,stressed,tiered,flat05,flat,0.05,1,gapped,2.25,42,-37.322333318387656,25,0,0,0,0,0,0,1996927293.7232628,0.0,2762908987.5,4969460100.0,2762908987.5,4355994815.340909,1.7986332964577973,0.2772365750972823,0.6343989693878002,
H2,kalman,stressed,tiered,flat05,flat,0.05,1,gapped,2.5,42,-40.52818006546205,27,0,0,0,0,0,0,1868112192.0096152,0.0,2620015312.5,4875647812.5,2620015312.5,4284496335.2272725,1.860923403477246,0.3243809047394641,0.6838794754867369,
H2,kalman,stressed,tiered,flat05,flat,0.05,1,gapped,2.75,42,-43.50535802358427,40,0,0,0,0,0,0,2134878882.0401342,0.0,2688879375.0,5041244400.0,2688879375.0,4471124353.409091,1.8748495923138984,0.2921398342757566,0.6949418239821693,
