fund,im_regime,c,im_mean,im_peak,im_peak_to_trough,im_max_jump_pct,im_responsiveness
kalman,flat05,3.5,4210508356.2642045,5151369560.625,2.0352155239158884,0.40365758478326796,0.8215726183174004
kalman,flat05,4.0,4069193697.961648,5159871367.96875,2.1395437600548823,0.4467720789832745,0.9026507026766357
kalman,flat12,1.0,11414776464.068182,12536113342.5,1.6871313710558564,0.276048308620601,0.5458267712669762
kalman,flat12,1.25,11246302674.852272,12449372033.25,1.7062395451066532,0.2787534615997351,0.5610054596318043
kalman,flat12,1.5,11053859398.261364,12334980156.75,1.7418382186894703,0.2940572870478707,0.5892834714961709
kalman,flat12,1.75,10871348948.880682,12278418594.75,1.7632697038519265,0.29554288750777735,0.6063076954545451
kalman,flat12,2.0,10737067130.727274,12263968550.25,1.7897797529722013,0.3132864947590909,0.6273661060103226
kalman,flat12,2.25,10639125038.556818,12227548686.75,1.841663761003217,0.3369136625025856,0.6685804673055182
kalman,flat12,2.5,10608939576.409092,12404344277.25,1.9246546666647677,0.3496602292285351,0.7345047723072821
kalman,flat12,2.75,10527898388.181818,12390200685.0,1.9454675417278202,0.3530909388497536,0.7510375997620854
kalman,flat12,3.0,10318966358.352274,12206960196.75,1.9561461827728686,0.37676773351693416,0.7595202399218285
kalman,flat12,3.5,10132076594.590908,12492754104.375,2.055547831331436,0.40365758478326796,0.8379512677055718
kalman,flat12,4.0,9921393817.789772,12480762825.0,2.161628898130515,0.4467720789832745,0.9183433462625077
kalman,reactive,1.0,12459092451.349455,15236577424.858425,1.958054227017668,0.2546405636559638,0.7610359058824336
kalman,reactive,1.25,15363503396.159977,19704218547.92001,2.4630788104407033,0.25876999524220173,1.1622050991280688
kalman,reactive,1.5,18147599502.840034,24111066108.77229,2.9641827005442023,0.2870553610285982,1.5602598670019705
kalman,reactive,1.75,21184904569.892097,28846943094.57604,3.404155839057119,0.29830065191718946,1.9097550694545766
kalman,reactive,2.0,23961654848.705055,33357259174.461853,3.8065814740299126,0.31674634630677667,2.2294241957160335
kalman,reactive,2.25,26922830581.0435,37314674910.1299,4.185593949887434,0.3568324157158248,2.5304949438748996
kalman,reactive,2.5,29970247272.81427,41701180749.99124,4.528521756357643,0.3769991092152497,2.8029016265965425
kalman,reactive,2.75,32370115230.642097,45778790911.89016,4.807869097621312,0.3845213006811482,3.02480279974436
kalman,reactive,3.0,34654055070.03828,48652485982.4802,4.912172740810208,0.4124650326280733,3.1076570008350424
kalman,reactive,3.5,39781826827.77321,57929061254.34224,5.513120193958754,0.4540283402930858,3.585023079390229
kalman,reactive,4.0,45100516346.18836,66200804574.486145,6.0112049900836215,0.515662517257907,3.980679612533593
kalman,static,1.0,11234326573.008942,12398748772.225574,1.6908683605073123,0.27604830862060104,0.5487952704106153
kalman,static,1.25,11101267475.643631,12288488602.156898,1.7072504552189478,0.2787534615997351,0.5618084819152827
kalman,static,1.5,10891040933.95632,12150412930.813862,1.738909866135721,0.29405728704787076,0.5869573177403205
kalman,static,1.75,10726662520.142384,12102298227.415472,1.7615765432585007,0.29554288750777735,0.6049627235628878
kalman,static,2.0,10607321968.937155,12007477659.59194,1.7765359472027047,0.3132864947590909,0.6168458124435433
kalman,static,2.25,10513013739.327724,12130012698.672745,1.8516258507985746,0.3369136625025856,0.6764939108435659
kalman,static,2.5,10454272076.542654,12301474327.760183,1.9335793392259912,0.34966022922853507,0.7415941374765977
kalman,static,2.75,10317656281.790188,12130001702.646275,1.9310389397266292,0.35309093884975357,0.7395761564690734
kalman,static,3.0,10193297262.615019,12094305499.276892,1.9635856350308383,0.3767677335169342,0.765429811769382
