exp,regime,seed,direct,margin,netting,decouple,drawdown,client_defaults,cm_defaults,nbcm_defaults,deepest_waterfall,mutualised_l3,survivor_l4,total_df,ccp_cash_used,client_loss_absorbed,im_mean,im_peak
H1,stressed,76,False,reactive,gross,False,-18.780564403966082,4,0,0,0,False,False,579034866.9458038,0.0,2048382.0260121897,12233994419.934381,14793268426.392982
H1,stressed,77,False,reactive,gross,False,-18.736823218050514,0,0,0,0,False,False,683465130.052819,0.0,0.0,12691753233.576109,15957252551.243637
H1,stressed,78,False,reactive,gross,False,-18.88042991491268,1,0,0,0,False,False,781542662.3768418,0.0,115216.69410453737,13129731644.538378,15840949537.141403
H1,stressed,79,False,reactive,gross,False,-18.810505557547508,4,0,0,0,False,False,499613686.5526213,0.0,2012077.5178679898,12206269820.917364,14760702948.04577
H1,stressed,80,False,reactive,gross,False,-18.65601292813216,4,0,0,0,False,False,719583324.6044672,0.0,1393127.6756009422,13423772904.80735,16395341682.495724
H1,stressed,81,False,reactive,gross,False,-18.743554100712977,3,0,0,0,False,False,1072282967.3211582,0.0,1068176.7415624373,13551780763.354523,16543882912.106922
H1,stressed,42,True,reactive,gross,False,-18.75084069407703,6,6,0,2,False,False,507017331.00170356,1584944.0579023361,2627290.36297007,5094133773.570751,6213109965.983647
H1,stressed,43,True,reactive,gross,False,-18.75644416550859,0,0,0,0,False,False,556886556.1935772,0.0,0.0,5694531895.140766,7465244627.485445
H1,stressed,44,True,reactive,gross,False,-18.772692635259315,4,4,0,2,False,False,492013057.24501234,-284642.97051143646,712349.3966306243,5206619476.164698,6313614656.669386
H1,stressed,45,True,reactive,gross,False,-18.747197560756877,1,1,0,2,False,False,488489036.16069627,165996.90242290497,261788.49959393195,5117236683.098931,6557052849.739606
H1,stressed,46,True,reactive,gross,False,-18.750560588393583,1,1,0,2,False,False,469232058.3261632,15526.685183525085,174648.31611122424,4917699720.570852,6434730304.292219
H1,stressed,47,True,reactive,gross,False,-18.76513317191283,0,0,0,0,False,False,476284164.3438051,0.0,0.0,5227406961.154934,6513121608.412712
H1,stressed,48,True,reactive,gross,False,-18.823634816108946,2,2,0,2,False,False,456597150.3433308,549408.7886753082,872821.1789151961,5285681106.926455,6470147788.609796
H1,stressed,49,True,reactive,gross,False,-18.821684587813625,5,5,0,2,False,False,510666622.88534075,747689.528014183,1528003.936136358,5004392375.152876,6343436933.747284
H1,stressed,50,True,reactive,gross,False,-18.75420422440468,4,4,0,2,False,False,528528459.13292193,1149740.9130945206,1943171.8882750077,5283932501.721734,6815395586.800128
H1,stressed,51,True,reactive,gross,False,-18.739344997756845,2,2,0,2,False,False,489711875.29238707,593130.0104932785,1243208.2420715103,5585876380.657916,6850823348.328225
H1,stressed,52,True,reactive,gross,False,-18.757006412268506,1,1,0,1,False,False,470247541.15888184,-66000.0,12660.754429146647,4790499194.251892,6115842814.644477
H1,stressed,53,True,reactive,gross,False,-18.76709258013898,3,3,0,2,False,False,450049533.8395803,169603.30557060242,903290.0224706521,4867348261.009479,5961820716.509917
H1,stressed,54,True,reactive,gross,False,-18.714394653030098,2,2,0,2,False,False,528823050.359458,467294.477473259,821576.8904834148,4995971257.7910795,6690659217.559734
H1,stressed,55,True,reactive,gross,False,-18.805756040704715,1,1,0,2,False,False,511307867.99067867,202238.81389141083,591638.5696241884,4880719020.275783,5828499416.219586
H1,stressed,56,True,reactive,gross,False,-18.80295897780767,2,2,0,2,False,False,563965254.798735,-66119.11535453796,398388.3345887861,6066579936.897484,7661139771.2483015
H1,stressed,57,True,reactive,gross,False,-18.749719718373026,1,1,0,1,False,False,463222817.840947,0.0,99687.58409846551,4947705028.257046,6045701911.767906
H1,stressed,58,True,reactive,gross,False,-18.73766373586937,0,0,0,0,False,False,494437332.99954253,0.0,0.0,5086034091.124959,6306972246.890947
H1,stressed,59,True,reactive,gross,False,-18.720007175853258,2,2,0,2,False,False,486249711.0176637,229642.25687503815,509021.17621779535,4931562911.424564,6370855721.650382
H1,stressed,60,True,reactive,gross,False,-18.75224094657584,1,1,0,1,False,False,567505261.6466957,-312375.0,81307.71270732442,5254047708.167573,6429333736.428531
H1,stressed,61,True,reactive,gross,False,-18.666367310282894,4,4,0,2,False,False,551771704.8800287,1604899.8559932709,2050247.0581846924,5222511578.317982,6296499982.311465
H1,stressed,62,True,reactive,gross,False,-18.683242078808004,1,1,0,1,False,False,540245869.011256,-88875.0,140738.06002014456,5672736858.7877655,7203783205.168109
H1,stressed,63,True,reactive,gross,False,-18.776626754562987,1,1,0,2,False,False,563399197.0278527,516239.28380680084,649988.7985446732,5389087863.32568,6666318121.844973
H1,stressed,64,True,reactive,gross,False,-18.75336322869955,0,0,0,0,False,False,478373568.33350897,0.0,0.0,5288463134.590615,6736450332.486037
H1,stressed,65,True,reactive,gross,False,-18.76401470983945,1,1,0,2,False,False,459079289.98820883,421262.4170408249,955238.3357005911,4985225285.617097,6091956280.58513
H1,stressed,66,True,reactive,gross,False,-18.6792961034297,0,0,0,0,False,False,504550699.8091841,0.0,0.0,5520367132.350033,6523054487.721537
H1,stressed,67,True,reactive,gross,False,-18.74691662555501,0,0,0,0,False,False,540416706.0234557,0.0,0.0,5624170001.8314495,7116218761.834178
H1,stressed,68,True,reactive,gross,False,-18.82922022663144,1,1,0,2,False,False,534265628.65793663,410793.69633102417,562801.9480764978,5094280255.678195,6588542859.429497
H1,stressed,69,True,reactive,gross,False,-18.757568961650595,2,2,0,2,False,False,536004358.9135622,-122633.59008979797,188751.16668224055,5592649649.016855,7156715814.770524
H1,stressed,70,True,reactive,gross,False,-18.676483792762866,1,1,0,1,False,False,531965845.2452787,-58500.0,82841.59614552092,5425779817.0773325,6612145097.757826
H1,stressed,71,True,reactive,gross,False,-18.680430879712752,5,5,0,2,False,False,557178438.4472951,937380.5964241028,2142969.7819393403,5458140462.741479,6856180654.711714
H1,stressed,72,True,reactive,gross,False,-18.74691662555501,2,2,0,2,False,False,462406273.50942224,319830.70592594147,582134.6514531602,4714722344.161501,5959716762.501484
