ts,bid_px_00,ask_px_00,bid_sz_00,ask_sz_00,symbol
2020-05-22 19:40:00+00:00,2944.0,2944.25,20,62,ESM0
2020-05-22 19:40:00+00:00,2934.75,2935.25,1,1,ESU0
2020-05-22 19:40:00+00:00,2928.25,2931.0,3,3,ESZ0
2020-05-22 19:41:00+00:00,2928.25,2931.0,3,3,ESZ0
2020-05-22 19:41:00+00:00,2935.0,2935.25,1,1,ESU0
2020-05-22 19:41:00+00:00,2944.0,2944.25,33,77,ESM0
2020-05-22 19:42:00+00:00,2943.0,2943.25,99,71,ESM0
2020-05-22 19:42:00+00:00,2934.0,2934.5,1,1,ESU0
2020-05-22 19:42:00+00:00,2927.25,2930.0,3,3,ESZ0
2020-05-22 19:42:00+00:00,2896.0,2939.75,7,7,ESH1
2020-05-22 19:43:00+00:00,2894.0,2937.75,7,7,ESH1
2020-05-22 19:43:00+00:00,2925.0,2927.75,3,3,ESZ0
2020-05-22 19:43:00+00:00,2931.75,2932.0,2,1,ESU0
2020-05-22 19:43:00+00:00,2940.75,2941.0,27,97,ESM0
2020-05-22 19:43:00+00:00,2884.75,2947.25,7,7,ESM1
2020-05-22 19:44:00+00:00,2887.25,2949.75,7,7,ESM1
2020-05-22 19:44:00+00:00,2944.25,2944.5,86,40,ESM0
2020-05-22 19:44:00+00:00,2935.25,2935.75,1,1,ESU0
2020-05-22 19:44:00+00:00,2928.5,2931.5,3,3,ESZ0
2020-05-22 19:44:00+00:00,2897.25,2940.75,7,7,ESH1
2020-05-22 19:45:00+00:00,2898.25,2941.75,7,7,ESH1
2020-05-22 19:45:00+00:00,2930.25,2932.75,3,3,ESZ0
2020-05-22 19:45:00+00:00,2936.75,2937.25,1,1,ESU0
2020-05-22 19:45:00+00:00,2945.75,2946.0,102,18,ESM0
2020-05-22 19:45:00+00:00,2888.5,2951.0,7,7,ESM1
2020-05-22 19:46:00+00:00,2889.75,2952.25,7,7,ESM1
2020-05-22 19:46:00+00:00,2947.75,2948.0,90,149,ESM0
2020-05-22 19:46:00+00:00,2938.75,2939.25,1,2,ESU0
2020-05-22 19:46:00+00:00,2932.0,2934.5,3,3,ESZ0
2020-05-22 19:46:00+00:00,2900.25,2943.75,7,7,ESH1
2020-05-22 19:47:00+00:00,2931.75,2934.5,3,3,ESZ0
2020-05-22 19:47:00+00:00,2938.25,2939.0,1,1,ESU0
2020-05-22 19:47:00+00:00,2947.5,2947.75,76,134,ESM0
2020-05-22 19:48:00+00:00,2948.0,2948.25,106,65,ESM0
2020-05-22 19:48:00+00:00,2939.0,2939.5,1,1,ESU0
2020-05-22 19:48:00+00:00,2932.25,2935.0,3,3,ESZ0
2020-05-22 19:48:00+00:00,2900.25,2943.75,7,7,ESH1
2020-05-22 19:48:00+00:00,2891.0,2953.5,7,7,ESM1
2020-05-22 19:49:00+00:00,2901.25,2944.25,7,2,ESH1
2020-05-22 19:49:00+00:00,2933.0,2935.75,3,3,ESZ0
2020-05-22 19:49:00+00:00,2939.75,2940.25,1,2,ESU0
2020-05-22 19:49:00+00:00,2948.75,2949.0,84,36,ESM0
2020-05-22 19:50:00+00:00,2948.5,2948.75,62,2,ESM0
2020-05-22 19:50:00+00:00,2936.5,2940.75,2,1,ESU0
2020-05-22 19:50:00+00:00,2921.5,2937.0,1,1,ESZ0
2020-05-22 19:51:00+00:00,2931.75,2934.5,3,3,ESZ0
2020-05-22 19:51:00+00:00,2938.25,2939.0,1,2,ESU0
2020-05-22 19:51:00+00:00,2947.5,2947.75,35,73,ESM0
2020-05-22 19:51:00+00:00,2900.0,2943.5,7,7,ESH1
2020-05-22 19:51:00+00:00,2890.0,2952.5,7,7,ESM1
2020-05-22 19:52:00+00:00,2899.0,2942.5,7,7,ESH1
2020-05-22 19:52:00+00:00,2946.75,2947.0,80,99,ESM0
2020-05-22 19:52:00+00:00,2937.75,2938.25,1,1,ESU0
2020-05-22 19:52:00+00:00,2931.0,2933.75,3,3,ESZ0
2020-05-22 19:53:00+00:00,2931.0,2933.75,3,3,ESZ0
2020-05-22 19:53:00+00:00,2937.75,2938.25,1,1,ESU0
2020-05-22 19:53:00+00:00,2946.75,2947.0,102,64,ESM0
2020-05-22 19:54:00+00:00,2947.0,2947.25,114,19,ESM0
2020-05-22 19:54:00+00:00,2938.0,2938.5,1,1,ESU0
2020-05-22 19:54:00+00:00,2931.25,2934.25,3,3,ESZ0
2020-05-22 19:55:00+00:00,2932.25,2934.75,3,3,ESZ0
2020-05-22 19:55:00+00:00,2938.75,2939.25,1,1,ESU0
2020-05-22 19:55:00+00:00,2947.75,2948.0,136,9,ESM0
2020-05-22 19:55:00+00:00,2900.0,2943.75,7,7,ESH1
2020-05-22 19:55:00+00:00,2891.25,2953.75,7,7,ESM1
2020-05-22 19:56:00+00:00,2890.0,2952.5,7,7,ESM1
2020-05-22 19:56:00+00:00,2899.0,2942.75,7,7,ESH1
2020-05-22 19:56:00+00:00,2946.25,2946.5,195,169,ESM0
2020-05-22 19:56:00+00:00,2937.25,2937.75,1,2,ESU0
2020-05-22 19:56:00+00:00,2930.5,2933.25,3,3,ESZ0
2020-05-22 19:57:00+00:00,2930.75,2933.5,3,3,ESZ0
2020-05-22 19:57:00+00:00,2937.5,2938.0,1,1,ESU0
2020-05-22 19:57:00+00:00,2946.5,2946.75,107,71,ESM0
2020-05-22 19:58:00+00:00,2948.25,2948.5,107,64,ESM0
2020-05-22 19:58:00+00:00,2939.25,2939.75,1,1,ESU0
2020-05-22 19:58:00+00:00,2932.5,2935.25,3,3,ESZ0
2020-05-22 19:58:00+00:00,2900.0,2943.75,7,7,ESH1
2020-05-22 19:58:00+00:00,2891.25,2953.75,7,7,ESM1
2020-05-22 19:59:00+00:00,2892.5,2955.0,7,7,ESM1
2020-05-22 19:59:00+00:00,2902.0,2944.5,7,2,ESH1
2020-05-22 19:59:00+00:00,2933.75,2936.5,3,3,ESZ0
2020-05-22 19:59:00+00:00,2940.25,2941.0,1,2,ESU0
