member_id,is_banking,is_client,deficit,level,L1_own_df,L2_sitg,L3_pooled_df,L4_survivor_cash,L5_ccp_cash,mutualised,regime,seed,margin
103,False,False,839322422.3626008,3,268023589.09812963,475344495.12000006,95954338.14447111,0.0,0.0,95954338.14447111,stressed,93,flat08
100,False,False,1120767778.569873,3,347245241.0806319,394507483.26000005,379015054.2292411,0.0,0.0,379015054.2292411,stressed,95,flat08
104,False,False,563542981.9521443,1,563542981.9521443,0.0,0.0,0.0,0.0,0.0,stressed,97,flat08
103,False,False,751033583.1698935,2,281043521.4127999,469990061.7570936,0.0,0.0,0.0,0.0,stressed,105,flat08
104,False,False,918809061.4124672,3,343107617.66172636,445041648.48,130659795.27074087,0.0,0.0,130659795.27074087,stressed,105,flat08
100,False,False,980889891.8026211,3,263114277.5040174,483772784.22,234002830.07860374,0.0,0.0,234002830.07860374,stressed,106,flat08
102,False,False,1240262176.453605,3,357152678.09145695,0.0,883109498.362148,0.0,0.0,883109498.362148,stressed,106,flat08
101,False,False,1195672264.3606803,3,317386897.1812489,390836776.44000006,487448590.7394314,0.0,0.0,487448590.7394314,stressed,107,flat08
104,False,False,829743168.2602062,3,154305663.6146503,320603548.32,354833956.325556,0.0,0.0,354833956.325556,stressed,108,flat08
101,False,False,973376922.5408385,3,216907028.6311872,359052312.96000004,397417580.94965124,0.0,0.0,397417580.94965124,stressed,113,flat08
101,False,False,797013940.6587226,3,234131967.66427958,374937102.54,187944870.45444304,0.0,0.0,187944870.45444304,stressed,116,flat08
104,False,False,944307078.893461,3,217622337.14628765,386048657.28000003,340636084.4671733,0.0,0.0,340636084.4671733,stressed,118,flat08
100,False,False,768565410.54547,3,241101829.87890363,326306228.82,201157351.84656638,0.0,0.0,201157351.84656638,stressed,120,flat08
101,False,False,760226832.7201272,3,266413827.82441753,406528164.90000004,87284839.99570966,0.0,0.0,87284839.99570966,stressed,123,flat08
101,False,False,954721653.4466071,3,268754760.687386,422450697.24000007,263516195.519221,0.0,0.0,263516195.519221,stressed,129,flat08
101,False,False,2960619965.7146525,3,862022279.3307,449927492.52000004,1648670193.8639526,0.0,0.0,1648670193.8639526,stressed,133,flat08
102,False,False,565765762.092221,3,177191571.2661646,340948369.08,47625821.74605644,0.0,0.0,47625821.74605644,stressed,134,flat08
101,False,False,973945240.2195642,3,318810096.40029395,476045078.52000004,179090065.2992702,0.0,0.0,179090065.2992702,stressed,135,flat08
100,False,False,785885161.2498546,3,208635520.62017664,446884824.54,130364816.08967787,0.0,0.0,130364816.08967787,stressed,135,flat08
100,False,False,1181689462.9207954,3,322980912.5583788,403330490.64000005,455378059.7224166,0.0,0.0,455378059.7224166,stressed,142,flat08
100,False,False,758293106.9509592,3,193498697.09248704,380285334.00000006,184509075.85847205,0.0,0.0,184509075.85847205,stressed,143,flat08
103,False,False,3748502106.013463,3,982999654.2991754,256868841.9,2508633609.8142877,0.0,0.0,2508633609.8142877,stressed,158,flat08
100,False,False,1192021444.6859522,3,260477968.60095635,267175043.51999998,664368432.5649959,0.0,0.0,664368432.5649959,stressed,160,flat08
100,False,False,1067470070.2781005,3,324044904.83816546,420944804.28000003,322480361.15993494,0.0,0.0,322480361.15993494,stressed,164,flat08
100,False,False,749759798.7795408,3,229905144.2308975,391105975.26000005,128748679.28864324,0.0,0.0,128748679.28864324,stressed,166,flat08
