t,price,fundamental,momentum,excess_demand
6493,100.00000000006308,97.18793032611113,-6.918795003989438e-14,-1e-08
6494,100.00000000006108,97.18361629170418,-2.6264220652025324e-13,-2e-08
6495,100.00000000006108,97.19541726701709,-2.363779858682279e-13,0.0
6496,100.00000000006207,96.99814684459771,-1.132642042749911e-13,1e-08
6497,100.00000000006207,96.994072208816,-1.0193778384749198e-13,0.0
6498,100.00000000006408,97.08087020225082,1.0862904602160548e-13,2e-08
6499,100.00000000006408,97.125993140803,9.776614141944493e-14,0.0
6500,100.00000000006408,97.3489726523225,8.798952727750044e-14,0.0
6501,100.00000000006408,97.47408360055373,7.91905745497504e-14,0.0
6502,100.00000000006408,97.61897700302882,7.127151709477536e-14,0.0
6503,100.00000000006408,97.89898559662025,6.414436538529782e-14,0.0
6504,100.00000000006308,97.97480122279771,-4.174605415964599e-14,-1e-08
6505,100.00000000006108,97.99110824359097,-2.379445002280297e-13,-2e-08
6506,100.00000000006108,98.0884822729341,-2.1415005020522673e-13,0.0
6507,100.00000000006108,98.0325586295946,-1.9273504518470407e-13,0.0
6508,100.00000000006008,98.0433272615441,-2.729375236726477e-13,-1e-08
6509,100.00000000005909,97.97855449723627,-3.4511975431179694e-13,-1e-08
6510,100.00000000005909,98.01835295299256,-3.1060777888061723e-13,0.0
6511,100.00000000005909,97.95316204419058,-2.7954700099255553e-13,0.0
6512,100.00000000005909,97.8844691942044,-2.515923008933e-13,0.0
6513,100.0000000000581,97.92581652351495,-3.25909053810384e-13,-1e-08
6514,100.0000000000581,97.91204537943689,-2.933181484293456e-13,0.0
6515,100.0000000000581,97.71929326586522,-2.639863335864111e-13,0.0
6516,100.0000000000581,97.57373757373401,-2.3758770022777e-13,0.0
6517,100.0000000000581,97.45901092458786,-2.13828930204993e-13,0.0
6518,100.0000000000571,97.37071373397646,-2.919220201909077e-13,-1e-08
6519,100.0000000000561,97.41215606692433,-3.6220580117823096e-13,-1e-08
6520,100.0000000000531,97.4340499516315,-6.258342555511701e-13,-3.0000000000000004e-08
6521,100.0000000000541,97.54057788880141,-4.637748469896391e-13,1e-08
6522,100.0000000000541,97.61585807109559,-4.1739736229067515e-13,0.0
6523,100.0000000000541,97.72304836671385,-3.7565762606160764e-13,0.0
6524,100.0000000000541,97.78388798585976,-3.3809186345544686e-13,0.0
6525,100.0000000000541,97.80485591676891,-3.042826771099022e-13,0.0
6526,100.0000000000551,97.91479109099768,-1.7437842639249794e-13,1e-08
6527,100.0000000000551,98.00673237017169,-1.5694058375324815e-13,0.0
6528,100.0000000000551,98.04434190692709,-1.4124652537792333e-13,0.0
6529,100.0000000000541,98.1714490940131,-2.2659785584654504e-13,-1e-08
6530,100.0000000000521,97.93687026976276,-4.043111217462388e-13,-2e-08
6531,100.0000000000501,97.90782395234872,-5.642530610559632e-13,-2e-08
6532,100.0000000000501,97.87724490578354,-5.078277549503669e-13,0.0
6533,100.0000000000501,97.99251319353169,-4.570449794553302e-13,0.0
6534,100.0000000000491,98.14965269322677,-5.108164645162112e-13,-1e-08
6535,100.0000000000481,98.00463475620575,-5.592108010710041e-13,-1e-08
6536,100.0000000000491,98.14575147362068,-4.0381373795748966e-13,1e-08
6537,100.0000000000511,98.02860695501805,-1.6305931267739245e-13,2.0000000000000004e-08
6538,100.00000000005011,97.91448543046197,-2.4622936441606724e-13,-1e-08
6539,100.00000000004911,97.89105686022923,-3.210824109808746e-13,-1e-08
6540,100.00000000004711,97.85923621301598,-4.893472213671354e-13,-2e-08
6541,100.00000000004711,97.70339448504429,-4.4041249923042185e-13,0.0
6542,100.00000000004711,97.76838228239355,-3.963712493073797e-13,0.0
6543,100.00000000004711,97.8363225248662,-3.5673412437664175e-13,0.0
6544,100.00000000004711,97.94172668448257,-3.210607119389776e-13,0.0
6545,100.00000000004711,97.8983811515048,-2.889546407450798e-13,0.0
6546,100.0000000000481,97.89442288000755,-1.6058319366415783e-13,1e-08
6547,100.00000000005011,97.89138016351728,5.5848177186606224e-14,2e-08
6548,100.00000000005011,98.06017970766413,5.0263359467945605e-14,0.0
6549,100.00000000005011,97.7767552294008,4.5237023521151047e-14,0.0
6550,100.00000000004911,97.68106079450189,-5.876266183737809e-14,-1e-08
6551,100.00000000004911,97.68161487878106,-5.288639565364028e-14,0.0
6552,100.00000000005011,97.5730578552895,5.1878226918137777e-14,1e-08
6553,100.00000000005011,97.5472258195624,4.6690404226324e-14,0.0
6554,100.0000000000511,97.5346182659254,1.4149734681010564e-13,1e-08
6555,100.0000000000531,97.46884965504616,3.277206636134434e-13,2e-08
6556,100.0000000000531,97.47529654765643,2.9494859725209906e-13,0.0
6557,100.0000000000561,97.5381114754322,5.653027720176514e-13,3.0000000000000004e-08
6558,100.00000000005511,97.5144848309291,4.092965118094723e-13,-1e-08
6559,100.00000000005511,97.46916535753223,3.683668606285251e-13,0.0
6560,100.00000000005411,97.45258886586684,2.3205419155925855e-13,-1e-08
6561,100.00000000005411,97.45184523120228,2.088487724033327e-13,0.0
6562,100.00000000005411,97.27781327466884,1.8796389516299944e-13,0.0
6563,100.00000000005312,97.32396866646498,6.969152264028547e-14,-1e-08
6564,100.00000000005411,97.2788685435203,1.6219835338267097e-13,1e-08
6565,100.00000000005411,97.40502205100141,1.4597851804440388e-13,0.0
6566,100.00000000005511,97.46412739856565,2.3085664924637755e-13,1e-08
6567,100.00000000005112,97.58113403898761,-1.9155403317543653e-13,-4e-08
6568,100.00000000005012,97.48003365961613,-2.718746128643069e-13,-1e-08
6569,100.00000000004913,97.44289499549738,-3.4416313458429024e-13,-1e-08
6570,100.00000000004813,97.31864914675164,-4.0922280413227526e-13,-1e-08
6571,100.00000000004714,97.2481300258587,-4.677765067254617e-13,-1e-08
6572,100.00000000004714,97.37334056830956,-4.2099885605291556e-13,0.0
6573,100.00000000004813,97.5220896261018,-2.7942298744121e-13,1e-08
6574,100.00000000004813,97.40727629662136,-2.5148068869708897e-13,0.0
6575,100.00000000004913,97.36144852978963,-1.2685663682096606e-13,1e-08
6576,100.00000000004813,97.35382896258723,-2.1364695614528349e-13,-1e-08
6577,100.00000000004813,97.41238952676821,-1.9228226053075515e-13,0.0
6578,100.00000000004714,97.23640850041456,-2.7253001748409364e-13,-1e-08
6579,100.00000000004614,97.07610849226171,-3.447529987420983e-13,-1e-08
6580,100.00000000004614,97.12507110664895,-3.102776988678885e-13,0.0
6581,100.00000000004614,96.93016724975715,-2.7924992898109963e-13,0.0
6582,100.00000000004714,96.88548750914326,-1.5184895307657566e-13,1e-08
6583,100.00000000004614,96.90169668999914,-2.361400407753321e-13,-1e-08
6584,100.00000000004515,96.94326328699245,-3.1200201970421295e-13,-1e-08
6585,100.00000000004614,96.92909147743806,-1.8132583472737764e-13,1e-08
6586,100.00000000004815,96.89251580553331,3.717980022970838e-14,2e-08
6587,100.00000000004815,96.97697289150496,3.3461820206737545e-14,0.0
6588,100.00000000004815,97.00549348414154,3.011563818606379e-14,0.0
6589,100.00000000004815,96.94079182194639,2.7104074367457412e-14,0.0
6590,100.00000000004715,96.94456411161461,-7.508231607570236e-14,-1e-08
6591,100.00000000004715,96.98288101388023,-6.757408446813212e-14,0.0
6592,100.00000000004616,97.15470473802537,-1.6029265902773292e-13,-1e-08
6593,100.00000000004715,97.23333710485453,-4.47874101185456e-14,1e-08
6594,100.00000000004616,97.35479279044992,-1.3978465211310507e-13,-1e-08
6595,100.00000000004616,97.29373205081995,-1.2580618690179457e-13,0.0
6596,100.00000000004816,97.24131376019446,8.714748327273315e-14,2e-08
6597,100.00000000005116,97.21777576091316,3.7828176943622214e-13,3.0000000000000004e-08
6598,100.00000000005215,97.20341849624934,4.3992957549901395e-13,1e-08
6599,100.00000000005116,97.10261600046906,2.9646063494269853e-13,-1e-08
6600,100.00000000004916,97.22920936312474,6.64415199640804e-14,-2e-08
6601,100.00000000004816,97.31754452690062,-3.967861503874167e-14,-1e-08
6602,100.00000000004816,97.28697674077047,-3.571075353486751e-14,0.0
6603,100.00000000004916,97.35114780567186,6.733630482503327e-14,1e-08
6604,100.00000000004715,97.37343772197224,-1.3977037714181833e-13,-2e-08
6605,100.00000000004715,97.44542052006537,-1.257933394276365e-13,0.0
6606,100.00000000004815,97.3109898077128,-1.3738022478458821e-14,1e-08
6607,100.00000000004815,97.29642370039306,-1.236422023061294e-14,0.0
6608,100.00000000004815,97.29061984760249,-1.1127798207551647e-14,0.0
6609,100.00000000004715,97.35298405756365,-1.0949100139321051e-13,-1e-08
6610,100.00000000004815,97.29014029744543,9.34081752524564e-16,1e-08
6611,100.00000000004914,97.04014722503719,1.0031665658368613e-13,1e-08
6612,100.00000000004815,96.9319772532689,-9.190992081096511e-15,-1e-08
6613,100.00000000005015,96.92587245469781,1.921011586113614e-13,2e-08
6614,100.00000000005015,96.93226087724814,1.7289104275022529e-13,0.0
6615,100.00000000005114,97.10063568951064,2.550779214816168e-13,1e-08
6616,100.00000000005015,97.15891033357644,1.3009414632704113e-13,-1e-08
6617,100.00000000005015,97.16706336149959,1.1708473169433702e-13,0.0
6618,100.00000000005114,97.16382423382144,2.0485224153131733e-13,1e-08
6619,100.00000000005114,97.27424257203842,1.843670173781856e-13,0.0
6620,100.00000000005315,97.21523152682268,3.663033671247153e-13,2e-08
6621,100.00000000005315,97.20120314804862,3.296730304122438e-13,0.0
6622,100.00000000005215,97.09227733603478,1.972297443646054e-13,-1e-08
6623,100.00000000005116,97.23416794090431,7.803078692173085e-14,-1e-08
6624,100.00000000004916,97.27341783460447,-1.301453432547905e-13,-2e-08
6625,100.00000000004816,97.20266550500408,-2.1660679193572548e-13,-1e-08
6626,100.00000000004816,97.19122000397225,-1.9494611274215293e-13,0.0
6627,100.00000000004717,97.24218508029287,-2.7492748447435167e-13,-1e-08
6628,100.00000000004717,97.21711318902064,-2.4743473602691653e-13,0.0
6629,100.00000000004717,97.16366612684938,-2.2269126242422488e-13,0.0
6630,100.00000000004717,97.09823875825094,-2.0042213618180239e-13,0.0
6631,100.00000000004816,97.13213494817505,-8.090393955720812e-14,1e-08
6632,100.00000000004816,97.09632952025399,-7.281354560148731e-14,0.0
6633,100.00000000004916,97.05095374677771,3.394379196507544e-14,1e-08
6634,100.00000000004916,96.91734757127217,3.05494127685679e-14,0.0
6635,100.00000000004816,96.9251116289249,-7.198151151470291e-14,-1e-08
6636,100.00000000004816,96.90698928504571,-6.478336036323262e-14,0.0
6637,100.00000000004816,96.87482445018152,-5.830502432690937e-14,0.0
6638,100.00000000004816,96.89470151793039,-5.247452189421843e-14,0.0
6639,100.00000000004816,96.96950174420398,-4.722706970479659e-14,0.0
