ft_sigma_c,zi_alpha,zi_delta,p_zi,D,dKS,dV,dACF1,dACF2,dHill,ret_std,ret_kurtosis,acf_r_1,acf_r_5,acf_r_10,acf_r_20,acf_absr_1,acf_absr_5,acf_absr_10,acf_absr_20,hill_tail_index,ks_stat
0.5,0.26,0.1625,0.8,37.66863721132156,27.070536544648622,0.7288447481649579,2.4905249251798263,3.407989362365956,3.970741630962199,0.0017077898044924318,223.19396175803217,-0.05431813465394878,-0.008451564190702114,-0.004545079882658747,-0.003577598676685507,0.3321238302084765,0.16836096699906347,0.1284448331716638,0.09112808490346026,2.434065761014357,0.24141555711282411
0.5,0.26,0.275,0.15,9.027606363217865,3.722689894928094,0.1635375881164868,1.0575552640903627,3.229578507453124,0.8542451086297967,0.001848354732563645,41.55279740974672,-0.018998514556182455,0.0022921846775407796,-0.009045982230915501,-0.004860187524472556,0.20278317639457397,0.13685072812543872,0.12476651351739171,0.10496028063511799,3.0183592200046534,0.033199018920812895
0.5,0.26,0.275,0.3125,18.55270122835523,11.279390226936927,0.061450927248849326,1.9950650562233176,3.0773363553298387,2.1394586626162955,0.0018129153326636414,131.91465069687308,-0.03895332137612234,0.012285972334981474,-0.0015333769355244872,-0.007633403845631565,0.2551915488742007,0.17247295496590073,0.09045116198821357,0.06850019515855897,2.7774021492622882,0.10058981546367673
0.5,0.26,0.275,0.475,26.830242037246148,17.12699282354341,0.6389259632395065,3.0095151752415683,3.136576928243179,2.9182311469784823,0.0017219534953471448,157.28529048719423,-0.06244624192222322,0.0003404188577025317,-0.009517214745537125,-0.0007344151931954216,0.30786619667621024,0.1989306647267147,0.1354487855791042,0.0643147099549471,2.631394712580183,0.15273884606400373
0.5,0.26,0.275,0.6375000000000001,33.98753443691549,23.180865836491563,0.6770131903311375,3.1031106794530667,3.5865187331762223,3.440025997463495,0.0017159541292470985,228.79705533164608,-0.07046087129962096,0.004509640190907129,-0.000733751588016621,-0.004992503129227746,0.3213964067379567,0.20055911062703843,0.11323890405902141,0.056881758900209224,2.53356648916056,0.20672740014015417
0.5,0.26,0.275,0.8,42.12577278779867,29.07103216980347,1.2519282969040149,3.4911234052063467,4.042502330763391,4.269186585121444,0.001625395523011998,286.5083690298781,-0.06945057122684332,-0.004201935681981535,0.00780277695286049,-3.9804023648579386e-05,0.37528913262080216,0.21643748975970264,0.12170434912265071,0.056630218129281984,2.378112085682353,0.25925601494977807
0.5,0.26,0.3875,0.15,10.460879921292381,5.320467088177798,0.13213925886939026,1.0158640549117888,3.5887504979685385,0.403659021364867,0.0018434089781344779,60.65642702801624,-0.020984245178941794,-0.0007949223110172559,-0.008157030625257808,-0.004392968772760318,0.1915988360398002,0.13399148442362532,0.10558035287391322,0.10316316913014024,3.1028369345197633,0.04744802616211169
0.5,0.26,0.3875,0.3125,20.96400546028056,11.662463857285724,0.3628962978076625,2.196356346652259,4.493961655795827,2.248327302739089,0.001765432717749314,265.3378360905128,-0.04606229191927217,0.006380184924771826,0.00021719171121176422,-0.0036824018533715194,0.3164820499449598,0.13302214957933023,0.06784971405624103,0.05595049132491101,2.75699101327767,0.10400607334734874
0.5,0.26,0.3875,0.475,31.008126299661214,19.477820743119818,1.1214980106918595,2.8556205869668676,4.887755082144828,2.6654318767378427,0.001645940443114425,278.0923538387926,-0.05867735085005767,0.005995054566318042,0.0023062014015716036,-0.002681428704277742,0.35677304753795314,0.14812947572701352,0.09044582373346473,0.0372054224896062,2.6787905492129735,0.17370357393132446
0.5,0.26,0.3875,0.6375000000000001,38.88605352128144,25.436743881878947,1.6130354607462332,3.2721764919874046,4.832503269447731,3.731594417221121,0.0015685151921854222,327.5215107353298,-0.06974189145447865,0.008809953249275559,-0.0017978571942692482,-0.0011697438349402608,0.34401511805659163,0.14702380182382926,0.07789506454165503,0.03921500806308075,2.478902054500765,0.2268453632328895
0.5,0.26,0.3875,0.8,45.521400690888164,31.081350195736494,1.519972111830265,3.2388495012906833,4.899145645329771,4.782083236700951,0.001583174203703904,404.4574667587176,-0.06972213615266874,-0.004920746554309231,0.0008594940605303686,0.001385551606818276,0.3639848192602633,0.17147375215140404,0.08182429165727646,0.034908792020542256,2.2819521328287404,0.27718406914272364
0.5,0.26,0.5,0.15,13.049656827236944,8.090384107622981,0.2013250193825661,1.3009839368673242,3.063007616608111,0.39395614675596385,0.0018543068758793068,38.000614482931496,-0.021672361183842376,0.004217325719277912,-0.010067551614117314,-0.004240587070705941,0.22010711496768398,0.14470218414199146,0.11416051852875204,0.10427310378639794,3.1046560689634437,0.07215019855174032
