t,log_price_med,log_price_p25,log_price_p75,log_fund_med,mispricing_med,mispricing_p25,mispricing_p75,log_ret_med,log_ret_std
61,1.675169633826826,1.6572640713554208,1.6900854677168338,1.679152478090017,-0.0034367000348237697,-0.016345991747800215,0.010045906027923213,0.0010166211880009435,0.0069154115737832
62,1.6774872913174992,1.661432350116658,1.6911207684318623,1.6810339799617378,-0.004452034246855918,-0.01676576658148171,0.008842450162514559,0.00026304157606027445,0.007643536373908263
63,1.6776118598405914,1.6626424740148118,1.6898957148999805,1.681409707055928,-0.004868666271199307,-0.014157768344521926,0.010075367959478776,0.0008490182252660627,0.006238558207205503
64,1.6759921509001732,1.6620183551569965,1.6917652439153588,1.682025914047124,-0.007638791242704834,-0.01708845745576215,0.010586125719033557,-0.0015119790739072103,0.007269838430106835
65,1.6735889327598201,1.6620322499468796,1.691932100696018,1.6821287178559368,-0.007399892064036906,-0.016531318827085417,0.008143157923240718,0.0018991052549125476,0.006784787811550213
66,1.6767105342164503,1.6568610891761102,1.692462439144453,1.6816429489192717,-0.007059476850470148,-0.021449513216351412,0.011730644850194982,-5.132629195225835e-05,0.006766714179792371
67,1.6776987687381655,1.6613350711374812,1.6924615846665894,1.6824085063063159,-0.0038011018483070647,-0.018348028613896894,0.00666882277970815,-0.0010049678191549338,0.0066384974253162025
68,1.6760067574998478,1.664432853324378,1.6949182795956381,1.6822007209488263,-0.00402673943283105,-0.018756519431953445,0.009829897742555771,-0.0021918975434863652,0.0071804474839676155
69,1.6758396773893875,1.6636040198412503,1.693302014909959,1.68231672034192,-0.004720013807796297,-0.017251298579770036,0.007338568603098561,0.001006160931955269,0.008188794837356182
70,1.6805993860801236,1.6691809228030325,1.6957022010633478,1.6836056438659615,-0.005035498211285572,-0.012586325377864582,0.008842146065774936,0.0020922403918742782,0.006362310481300196
71,1.6834198183617843,1.6668569008880665,1.6968863090874666,1.6838866710332705,-0.004281860748666988,-0.014607536176552138,0.011061303019681556,0.0024786145856749986,0.007231639567067091
72,1.6782166831885368,1.669310775159091,1.6951017485039728,1.6840922393660138,-0.0055920498853559986,-0.013885278032796489,0.009009308175693787,-0.0008477804087032581,0.006875338006252852
73,1.681064710448166,1.6664689144631166,1.695433446636712,1.6855354174113932,-0.006010745777269566,-0.015144830401557119,0.009940899940499459,0.0011205138844743168,0.0074845784935798085
74,1.6786676886752634,1.6691195583411793,1.698667609614041,1.6859830173020924,-0.0026994707233297666,-0.01599667567846158,0.012799625046870544,0.0017676569299990286,0.006940159415794507
75,1.6787137632854177,1.6671912346019202,1.700780944334626,1.6876100501676352,-0.006467525104663752,-0.017655111788788258,0.013900958297165256,-0.0002465168884063784,0.00733100364620048
76,1.6800473266342153,1.6707606017786905,1.700044847223714,1.6896724342330631,-0.004912867812827959,-0.017966680350173625,0.010171227756294143,3.283702821244017e-05,0.006710410446825793
77,1.6824178208370228,1.66961684301865,1.6968689392703447,1.6889322347522677,-0.003800477628433274,-0.013479842569472322,0.01101318563128173,-0.0007327769857821131,0.006917409379941252
78,1.6855143930897838,1.6719652554040676,1.7005482268384302,1.6890425632024646,0.0006651371975300302,-0.012352328631340226,0.010594851658574711,-8.100192862892097e-05,0.005647794126852924
79,1.6858828903063634,1.6728988979784243,1.7013856868521822,1.6902739441282457,-0.0013039758163514437,-0.016687341324984672,0.010800942717733963,0.001151678152846003,0.006560597028328354
80,1.688548666650404,1.6696027336575743,1.6981126592032099,1.69021843348684,-0.0008984967575954572,-0.015893025833717156,0.006726735190897559,-0.0006651661019337896,0.007707763029201256
81,1.6898656041871738,1.672832683602328,1.700717723185622,1.6909576118159328,-0.0009195880246603005,-0.019813018405506144,0.010784192181105101,0.0020172021789933714,0.007779635584821796
82,1.6880347120434178,1.6761026850050058,1.7021645494726305,1.6926593441426294,-0.0013862562645929888,-0.014850817744430034,0.013506259450842772,0.0038705495482213026,0.007111055843118076
83,1.6939118312263575,1.676480522927618,1.7048903190409357,1.6925732692420228,0.0007928299814657924,-0.013176418401666501,0.014331390277544986,0.0008590850418352947,0.005774872332032043
84,1.6935987170911044,1.68001471459457,1.707838332424645,1.692740358285275,0.0023142504386405305,-0.011145084055334986,0.013299724551224523,0.003278029808461258,0.007960730425927957
85,1.694047023729592,1.6795574140180285,1.7090472411717026,1.6924497398800638,0.0012811902615558202,-0.010531465274243423,0.012992022659369828,0.000728771824769936,0.00649185202186784
86,1.6938635111723865,1.677147895253206,1.7084135020972664,1.6937583084100072,0.0012545961013157303,-0.011280167502216831,0.012648807958632435,-0.001019678093667875,0.008580598825924497
