t,mid_price,spread,bid_depth,ask_depth,volume,fundamental
374,2454.25,0.5,61,152,56,2460.274907366568
375,2454.375,0.25,60,124,60,2462.005840867037
376,2454.125,0.25,48,119,63,2461.986788114831
377,2454.375,0.25,36,142,68,2461.7923898565064
378,2454.25,0.5,33,100,75,2462.355065630689
379,2454.125,0.25,49,140,39,2461.3803351250103
380,2454.25,0.5,78,134,55,2462.1742237008607
381,2454.25,0.5,73,131,73,2463.0425781204035
382,2454.375,0.25,88,103,59,2463.058201228649
383,2454.25,0.5,76,100,78,2463.3054601657213
384,2454.25,0.5,65,46,85,2465.037669065104
385,2454.25,0.5,59,67,87,2465.5578374250385
386,2454.25,0.5,66,112,63,2464.979804255944
387,2454.25,0.5,78,138,71,2465.558000682827
388,2454.25,0.5,40,131,76,2465.1329754772787
389,2454.25,0.5,62,147,63,2464.5443020991747
