regime,seed,agent_id,n_clients,min_kappa,breached
calm,99,38,0,0.43900058139013365,0
calm,99,39,0,0.1795831466898536,0
calm,100,30,15,0.0833393388151666,0
calm,100,31,13,0.0842321992463438,0
calm,100,32,13,0.07696966323331314,1
calm,100,33,12,0.07931260408953132,1
calm,100,34,15,0.0807409646781412,0
calm,100,35,0,0.17741140185754134,0
calm,100,36,0,0.188947386378459,0
calm,100,37,0,0.19923599467093608,0
calm,100,38,0,0.18177751705991804,0
calm,100,39,0,0.17851426005285026,0
calm,101,30,16,0.0799843002502968,1
calm,101,31,10,0.07657592083781568,1
calm,101,32,18,0.07875219005615658,1
calm,101,33,16,0.07899534028753025,1
calm,101,34,12,0.07843643457507928,1
calm,101,35,0,0.1768824685816576,0
calm,101,36,0,0.17525941230386813,0
calm,101,37,0,0.18558216817956716,0
calm,101,38,0,0.13836672322862714,0
calm,101,39,0,0.1795664005455015,0
calm,102,30,16,0.08015535248079776,0
calm,102,31,12,0.0801408181164889,0
calm,102,32,12,0.07902421547018591,1
calm,102,33,16,0.07798000197182257,1
calm,102,34,12,0.07952741711892002,1
calm,102,35,0,0.1827026123015662,0
calm,102,36,0,0.18318451010251233,0
calm,102,37,0,0.2290360213230373,0
calm,102,38,0,0.19913458176367546,0
calm,102,39,0,0.18826350606776407,0
calm,103,30,14,0.09910816656791457,0
calm,103,31,15,0.08092069363663931,0
calm,103,32,10,0.09551186176680573,0
calm,103,33,15,0.08434577645604682,0
calm,103,34,15,0.07963434895243424,1
calm,103,35,0,0.17936758714738993,0
calm,103,36,0,0.17589673859058402,0
calm,103,37,0,0.1881086933828108,0
calm,103,38,0,0.18652216390305779,0
calm,103,39,0,0.1725066737829674,0
calm,104,30,12,0.0916296038913573,0
calm,104,31,12,0.09280975147595369,0
calm,104,32,18,0.08937122783606731,0
calm,104,33,13,0.07740760656100105,1
calm,104,34,17,0.08874790179428577,0
calm,104,35,0,0.22545924606080234,0
calm,104,36,0,0.1919432264258372,0
calm,104,37,0,0.17839151957846272,0
calm,104,38,0,0.1996158576824069,0
calm,104,39,0,0.17719529070256096,0
calm,105,30,20,0.07868140611328561,1
calm,105,31,13,0.07802787554467432,1
calm,105,32,12,0.07673289133052393,1
calm,105,33,12,0.07971507581363597,1
calm,105,34,15,0.07823801019448959,1
calm,105,35,0,0.17387465577680888,0
calm,105,36,0,0.17855702915392935,0
calm,105,37,0,0.17681398404055218,0
calm,105,38,0,0.17541698041083845,0
calm,105,39,0,0.18817860300305642,0
calm,106,30,15,0.07933146481449359,1
calm,106,31,16,0.07995345336122987,1
calm,106,32,10,0.07676702278562827,1
calm,106,33,17,0.08439849619509929,0
calm,106,34,18,0.0971925126100709,0
calm,106,35,0,0.17882182797144178,0
calm,106,36,0,0.17705058220812311,0
calm,106,37,0,0.17580063406052782,0
calm,106,38,0,0.18915343864285206,0
calm,106,39,0,0.523390925171912,0
