regime,t,mtype,metric,p50,p25,p75
stressed,21239,BCMc,maintenance_margin,3376019764.2238264,2572456564.0982985,4172037711.5687804
stressed,21239,BCMo,cash,2497433856.919231,1706646296.0275786,8852067162.41344
stressed,21239,BCMo,df_contribution,108313205.26613873,76438231.98878875,198167007.77805415
stressed,21239,BCMo,maintenance_margin,925342221.2196271,646093933.3179799,1895455367.2557313
stressed,21239,NBCM,cash,1785977862.2446136,1243476706.960539,2299570036.7436438
stressed,21239,NBCM,df_contribution,59549839.1696136,34650769.05791804,109451175.13606596
stressed,21239,NBCM,maintenance_margin,547843173.1705161,317445413.2823963,977248720.4689138
stressed,21299,BCMc,cash,5300510322.054663,4166511740.6010976,7426604479.872121
stressed,21299,BCMc,df_contribution,363886444.8035389,286357418.5144725,475717996.3286862
stressed,21299,BCMc,maintenance_margin,3352493358.9492764,2572328447.056221,4151843235.7869525
stressed,21299,BCMo,cash,2483879059.802353,1696465687.42733,8874624842.782467
stressed,21299,BCMo,df_contribution,108313205.26613873,76438231.98878875,198167007.77805415
stressed,21299,BCMo,maintenance_margin,912457054.0167669,637068834.2963452,1938862380.2959027
stressed,21299,NBCM,cash,1785977862.2446136,1243476706.960539,2299570036.7436438
stressed,21299,NBCM,df_contribution,59549839.1696136,34650769.05791804,109451175.13606596
stressed,21299,NBCM,maintenance_margin,538024686.0528095,310213019.60893476,981093010.032543
stressed,21359,BCMc,cash,5326288849.379144,4185650404.602624,7453379192.740702
stressed,21359,BCMc,df_contribution,363886444.8035389,286357418.5144725,475717996.3286862
stressed,21359,BCMc,maintenance_margin,3363573004.05521,2562583898.5621905,4182660940.613125
stressed,21359,BCMo,cash,2521985381.1923923,1727149336.464284,8859567690.03981
stressed,21359,BCMo,df_contribution,108313205.26613873,76438231.98878875,198167007.77805415
stressed,21359,BCMo,maintenance_margin,896439310.5518628,625485264.3201877,1927403129.5397296
stressed,21359,NBCM,cash,1785977862.2446136,1243476706.960539,2299570036.7436438
stressed,21359,NBCM,df_contribution,59549839.1696136,34650769.05791804,109451175.13606596
stressed,21359,NBCM,maintenance_margin,544998222.4784689,313778987.18572176,983141859.383702
stressed,21419,BCMc,cash,5297511318.671131,4229353955.1517463,7442064555.961704
stressed,21419,BCMc,df_contribution,363886444.8035389,286357418.5144725,475717996.3286862
stressed,21419,BCMc,maintenance_margin,3328495079.6845026,2567190004.573712,4196198799.935513
stressed,21419,BCMo,cash,2514142212.2135153,1720117889.0510383,8872399687.01115
stressed,21419,BCMo,df_contribution,108313205.26613873,76438231.98878875,198167007.77805415
stressed,21419,BCMo,maintenance_margin,883244047.9321617,617515170.7294512,1927509158.6791203
stressed,21419,NBCM,cash,1785977862.2446136,1243476706.960539,2299570036.7436438
stressed,21419,NBCM,df_contribution,59549839.1696136,34650769.05791804,109451175.13606596
stressed,21419,NBCM,maintenance_margin,536221794.3260235,316248155.2723502,991529980.0449635
stressed,21479,BCMc,cash,5346075988.453046,4256926414.630155,7513958223.622858
stressed,21479,BCMc,df_contribution,346740081.80992097,271779741.1766888,453814648.7888003
stressed,21479,BCMc,maintenance_margin,3269959601.2282996,2519284659.003146,4049474576.0772114
stressed,21479,BCMo,cash,2539884173.653336,1733479730.418043,9062101184.723894
stressed,21479,BCMo,df_contribution,96427350.44566041,68992721.13110334,194088012.35592318
stressed,21479,BCMo,maintenance_margin,850639984.6365049,592991595.499483,1875242984.4079232
stressed,21479,NBCM,cash,1783441375.5291235,1246162105.3362708,2305287824.5962195
stressed,21479,NBCM,df_contribution,56463611.58325911,33573966.62255919,109916155.13780554
stressed,21479,NBCM,maintenance_margin,521524748.1396218,312661457.47724617,956709250.4627672
stressed,21539,BCMc,cash,5319415102.60899,4215806903.298282,7513670145.049639
stressed,21539,BCMc,df_contribution,346740081.80992097,271779741.1766888,453814648.7888003
stressed,21539,BCMc,maintenance_margin,3296152866.374411,2552266168.24244,4076060357.0768957
stressed,21539,BCMo,cash,2535290579.533138,1731350093.4732316,9017057758.78849
stressed,21539,BCMo,df_contribution,96427350.44566041,68992721.13110334,194088012.35592318
stressed,21539,BCMo,maintenance_margin,843861478.3122501,588022031.5791291,1877024947.2584846
stressed,21539,NBCM,cash,1783393283.68194,1246017568.0184278,2305287824.5962195
stressed,21539,NBCM,df_contribution,56463611.58325911,33573966.62255919,109916155.13780554
stressed,21539,NBCM,maintenance_margin,527287999.5617253,309136887.7196499,965678999.1127204
stressed,21599,BCMc,cash,5354606549.872402,4228831086.5996394,7500839857.710374
stressed,21599,BCMc,df_contribution,346740081.80992097,271779741.1766888,453814648.7888003
stressed,21599,BCMc,maintenance_margin,3321753872.7357626,2528169130.62506,4085259205.064651
stressed,21599,BCMo,cash,2564468048.3026047,1750640020.8440537,8946452800.068274
stressed,21599,BCMo,df_contribution,96427350.44566041,68992721.13110334,194088012.35592318
stressed,21599,BCMo,maintenance_margin,841400663.8285005,587642963.6193485,1873749423.5589147
stressed,21599,NBCM,cash,1783200916.293206,1246335550.1176825,2305287824.5962195
stressed,21599,NBCM,df_contribution,56463611.58325911,33573966.62255919,109916155.13780554
stressed,21599,NBCM,maintenance_margin,531713288.5135307,315077973.8379705,969665523.0439017
stressed,21659,BCMc,cash,5328114312.034807,4224952203.203497,7471564905.515425
stressed,21659,BCMc,df_contribution,346740081.80992097,271779741.1766888,453814648.7888003
stressed,21659,BCMc,maintenance_margin,3338951673.1453743,2543883397.644491,4138035699.845183
stressed,21659,BCMo,cash,2546478595.533926,1741960430.756996,8968265856.105116
stressed,21659,BCMo,df_contribution,96427350.44566041,68992721.13110334,194088012.35592318
stressed,21659,BCMo,maintenance_margin,843164756.651494,592113301.0957274,1884317656.6455212
stressed,21659,NBCM,cash,1783381260.7201443,1246176559.0680552,2305287824.5962195
stressed,21659,NBCM,df_contribution,56463611.58325911,33573966.62255919,109916155.13780554
stressed,21659,NBCM,maintenance_margin,547435659.8696831,319107295.0890806,990073262.0577652
stressed,21719,BCMc,cash,5332856939.40212,4211947914.796138,7482302445.565902
stressed,21719,BCMc,df_contribution,346740081.80992097,271779741.1766888,453814648.7888003
stressed,21719,BCMc,maintenance_margin,3345663362.319676,2547187900.804783,4086382734.184615
stressed,21719,BCMo,cash,2556024345.921587,1748253659.67171,8930862284.585213
