regime,t,type,p50,p25,p75
calm,4140,MT,801272211.75,720610171.875,894849984.0
calm,4140,ZI,821126214.0,737446236.75,945701536.5
calm,4200,BCM,12879745227.0,11894657078.25,14135743604.25
calm,4200,FT,10034887140.0,9350337421.125,10668693124.125
calm,4200,MT,805579440.75,725825544.75,891555282.0
calm,4200,ZI,817823850.75,734502110.625,921602340.0
calm,4260,BCM,12904957431.0,11887633440.0,14130939780.0
calm,4260,FT,10061183286.0,9289550936.25,10644599664.0
calm,4260,MT,884147193.0,811981175.625,980852145.75
calm,4260,ZI,788673791.25,722149141.5,861036615.0
calm,4320,BCM,12921206818.5,11738588424.75,14143422471.75
calm,4320,FT,9882630663.75,9178017111.0,10505950710.75
calm,4320,MT,1075371759.0,1005030085.5,1161136455.75
calm,4320,ZI,808238490.75,733271244.75,913078139.625
calm,4380,BCM,12979539985.5,11803514190.75,14187518030.25
calm,4380,FT,9946045766.25,9229490103.375,10520044114.5
calm,4380,MT,1156362930.0,1084614770.25,1238976834.75
calm,4380,ZI,796994552.25,737105818.5,855670540.5
calm,4440,BCM,12923162181.0,11776684108.5,14225501272.5
calm,4440,FT,9831238645.5,9110455448.625,10361987113.5
calm,4440,MT,1187188222.5,1116572610.375,1276760772.0
calm,4440,ZI,832050837.0,747398056.5,969734804.625
calm,4500,BCM,13043814201.0,11861817891.75,14403744067.5
calm,4500,FT,9927711463.5,9273580845.75,10448926905.375
calm,4500,MT,1118276948.25,1026851395.5,1185217805.25
calm,4500,ZI,880267587.75,771297961.5,1037107192.5
calm,4560,BCM,13161519886.5,11870538525.0,14424605093.25
calm,4560,FT,9972197392.5,9344019808.125,10546360409.25
calm,4560,MT,1026959535.0,925541292.375,1092163694.625
calm,4560,ZI,895403769.75,783862869.375,1049332730.625
calm,4620,BCM,13222457752.5,11893715217.0,14475273169.5
calm,4620,FT,9955228293.0,9386609780.25,10569456903.375
calm,4620,MT,981185699.25,881711842.5,1048676371.875
calm,4620,ZI,983835861.75,857779104.375,1139937710.625
calm,4680,BCM,13307342499.0,11992739647.5,14563076454.0
calm,4680,FT,10003886365.5,9400011896.25,10611002737.125
calm,4680,MT,929984321.25,830970397.125,998088284.25
calm,4680,ZI,1009904429.25,872084097.0,1162950361.875
calm,4740,BCM,13275545589.0,11814996123.0,14556224092.5
calm,4740,FT,9989818042.5,9372068391.375,10616204579.625
calm,4740,MT,900329202.0,801510288.75,969617830.5
calm,4740,ZI,969390074.25,850593945.375,1117646641.125
calm,4800,BCM,13300832826.0,11858050323.0,14560088114.25
calm,4800,FT,10007824263.75,9347584084.875,10659757543.875
calm,4800,MT,925835611.5,825696144.0,1004074804.125
calm,4800,ZI,930479404.5,820349960.625,1094118040.125
calm,4860,BCM,13287026911.5,11940057697.5,14603569076.25
calm,4860,FT,9978145260.75,9379199629.125,10624810191.75
calm,4860,MT,972687186.0,876481159.5,1054622004.75
calm,4860,ZI,982680547.5,846480919.5,1143013388.625
calm,4920,BCM,13281934891.5,12020941003.5,14603778067.5
calm,4920,FT,9982593843.75,9373319748.0,10598084958.375
calm,4920,MT,952035455.25,857588668.875,1039939454.25
calm,4920,ZI,945874458.0,833487160.5,1111203495.0
calm,4980,BCM,13275219726.0,11877609784.5,14608783026.0
calm,4980,FT,9912900901.5,9328815871.875,10519552694.25
calm,4980,MT,1140986137.5,1033610541.75,1218872817.0
calm,4980,ZI,950781231.0,842841342.0,1135155603.375
calm,5040,BCM,13247532967.5,11909906392.5,14596904027.25
calm,5040,FT,9910072264.5,9321105094.875,10426181230.125
calm,5040,MT,1254646185.75,1156669089.75,1328873726.25
calm,5040,ZI,906224962.5,807244160.625,1098616759.875
calm,5100,BCM,13247528899.5,11936222754.75,14539870401.75
calm,5100,FT,9906675349.5,9332535501.0,10422635991.75
calm,5100,MT,1333771933.5,1243233650.25,1410400429.875
calm,5100,ZI,887148470.25,789498039.375,1013289976.125
calm,5160,BCM,13263880617.0,11909438646.75,14514257677.5
calm,5160,FT,9838012936.5,9230714707.5,10413426219.75
calm,5160,MT,1421300450.25,1337014597.5,1496547306.0
calm,5160,ZI,897144306.75,802334757.375,1033706099.25
calm,5220,BCM,13258994994.0,11889770726.25,14586867132.75
calm,5220,FT,9858620855.25,9166966663.5,10415318853.375
calm,5220,MT,1381729675.5,1292972406.75,1455572992.5
calm,5220,ZI,949858386.75,823332643.875,1070543790.0
calm,5280,BCM,13224132495.0,11916287075.25,14545701501.75
calm,5280,FT,9858998274.75,9240912310.5,10405250622.0
calm,5280,MT,1393614213.75,1309837717.125,1474153575.75
calm,5280,ZI,870473358.0,796655688.75,953446950.0
calm,5340,BCM,13198312849.5,11856686955.75,14479875576.0
calm,5340,FT,9764134683.75,9111745896.75,10349661646.125
calm,5340,MT,1523396700.0,1464893142.75,1614419030.25
calm,5340,ZI,867342154.5,784981945.125,933639327.0
calm,5400,BCM,13102008111.0,11707451511.75,14403771641.25
calm,5400,FT,9644624194.5,9008010648.0,10207257727.5
calm,5400,MT,1682254539.0,1625919591.375,1756139676.75
calm,5400,ZI,861839012.25,786997525.5,936623526.75
calm,5460,BCM,12977258400.0,11599788163.5,14279253561.0
calm,5460,FT,9561361500.0,8940670818.75,10144446662.25
calm,5460,MT,1757706882.75,1703015785.125,1834023280.5
calm,5460,ZI,858514677.75,792868712.625,931264593.75
calm,5520,BCM,13062821463.0,11669578949.25,14324739466.5
calm,5520,FT,9513001032.75,8989212859.875,10158009399.0
calm,5520,MT,1837656126.0,1765551947.625,1900277673.75
calm,5520,ZI,867118081.5,800936841.375,939510339.75
calm,5580,BCM,13140082647.0,11662313044.5,14324906322.0
calm,5580,FT,9462514560.75,8874399199.5,10085563012.5
calm,5580,MT,1819874452.5,1744998665.625,1890065077.875
calm,5580,ZI,878774307.75,805648113.0,983278146.375
calm,5640,BCM,13177883722.5,11672095981.5,14340791088.0
calm,5640,FT,9502195639.5,8849867976.0,10065798979.875
calm,5640,MT,1705241677.5,1623456855.0,1782568465.875
calm,5640,ZI,888549387.75,808447504.5,978038361.0
calm,5700,BCM,13148983732.5,11590307298.0,14265917761.5
calm,5700,FT,9380246618.25,8784794466.0,9970656106.5
calm,5700,MT,1817981043.75,1745099013.375,1889494332.75
calm,5700,ZI,897041450.25,812602770.75,1001641592.25
calm,5760,BCM,13073350981.5,11500288069.5,14136800694.75
calm,5760,FT,9150892555.5,8598377458.125,9870387063.75
calm,5760,MT,1975046132.25,1865125118.25,2067538105.125
calm,5760,ZI,923934656.25,822164009.625,1052081535.375
calm,5820,BCM,13160569702.5,11597186614.5,14291628592.5
calm,5820,FT,9224364375.0,8680194742.5,9955126536.75
calm,5820,MT,1848186900.0,1738601394.75,1957958557.875
calm,5820,ZI,928712830.5,837088843.5,1067211136.125
calm,5880,BCM,13225719645.0,11704909567.5,14361240505.5
calm,5880,FT,9276004743.75,8687325181.5,10050774746.625
calm,5880,MT,1773222608.25,1669579728.75,1890225118.125
calm,5880,ZI,1018215564.75,875324435.625,1191729081.375
calm,5940,BCM,13307379106.5,11888886874.5,14420151931.5
calm,5940,FT,9368308300.5,8774618375.25,10183406778.0
calm,5940,MT,1673378892.0,1580123585.25,1793580863.625
calm,5940,ZI,1034178716.25,905924587.5,1250046834.75
calm,6000,BCM,13366840482.0,11909433280.5,14422517849.25
calm,6000,FT,9419767575.75,8848436160.375,10291420554.75
calm,6000,MT,1584939197.25,1503769645.125,1714192584.75
calm,6000,ZI,1018109830.5,895706872.875,1179792988.875
calm,6060,BCM,13317819786.0,12030761688.75,14403155535.0
calm,6060,FT,9418222831.5,8812624035.375,10279901919.375
calm,6060,MT,1635056023.5,1545563703.375,1758531556.125
calm,6060,ZI,1030606204.5,893390837.625,1192942737.0
calm,6120,BCM,13361653116.0,12143840978.25,14535989680.5
calm,6120,FT,9445762197.0,8831729803.5,10322013917.25
calm,6120,MT,1523798309.25,1442862304.875,1672623489.375
calm,6120,ZI,1099592743.5,921509766.0,1308771901.125
calm,6180,BCM,13454392036.5,12171539560.5,14683829915.25
calm,6180,FT,9655678827.0,8976821374.125,10392942082.5
calm,6180,MT,1449417098.25,1372769507.25,1604551592.25
calm,6180,ZI,1136105093.25,941368837.5,1351625031.0
calm,6240,BCM,13558234963.5,12236909458.5,14823674959.5
calm,6240,FT,9760815663.75,9107411515.875,10462575092.625
calm,6240,MT,1382228471.25,1312723562.625,1527656647.5
calm,6240,ZI,1181399085.0,975574074.375,1430371305.0
calm,6300,BCM,13568822788.5,12264366660.75,14770259887.5
calm,6300,FT,9843411912.75,9207220172.625,10493774991.0
calm,6300,MT,1325484270.0,1241307014.625,1460913035.625
calm,6300,ZI,1155514052.25,939534532.875,1354287656.25
calm,6360,BCM,13508620780.5,12267047040.75,14842033393.5
calm,6360,FT,9830482245.0,9176821215.75,10490616835.875
calm,6360,MT,1301230127.25,1216029445.875,1431141545.25
calm,6360,ZI,1230183686.25,984756652.875,1465228019.25
calm,6420,BCM,13561857004.5,12365831263.5,14879757195.0
calm,6420,FT,9853004729.25,9176122215.0,10514758398.75
calm,6420,MT,1249444856.25,1174154850.0,1390202752.5
calm,6420,ZI,1278581793.75,1039398458.625,1535251725.0
calm,6480,BCM,13652185725.0,12418348983.75,14930839365.75
calm,6480,FT,9891278905.5,9213613502.625,10474255868.625
calm,6480,MT,1187223180.75,1099139533.875,1331584908.75
calm,6480,ZI,1419135653.25,1139267300.625,1693363289.625
calm,6540,BCM,13638477973.5,12489418525.5,14823962370.0
calm,6540,FT,9901076364.0,9229393447.875,10447193098.125
calm,6540,MT,1111996507.5,1024595453.25,1257448731.75
calm,6540,ZI,1413695715.75,1152202957.875,1684868603.625
calm,6600,BCM,13670518081.5,12471479777.25,14852292738.75
calm,6600,FT,9923047326.0,9210811873.5,10466935543.125
calm,6600,MT,1021020477.75,936062722.125,1168447500.0
calm,6600,ZI,1486158997.5,1177182524.25,1742463163.125
calm,6660,BCM,13686940845.0,12510449302.5,14827141296.0
calm,6660,FT,9864451516.5,9155494672.875,10435040389.125
calm,6660,MT,929674687.5,847165234.5,1083071841.75
calm,6660,ZI,1459774829.25,1143752281.875,1683260105.625
calm,6720,BCM,13791590131.5,12542728230.0,14851311990.75
calm,6720,FT,9943893166.5,9188796795.75,10447006421.25
calm,6720,MT,977517596.25,887762463.75,1132580137.5
calm,6720,ZI,1469065187.25,1144171180.125,1704493320.75
calm,6780,BCM,13775735799.0,12564087635.25,14832470992.5
calm,6780,FT,9927346403.25,9198198892.125,10435106443.5
calm,6780,MT,961327343.25,873570426.75,1123592148.0
calm,6780,ZI,1446210868.5,1130299139.25,1684618565.625
calm,6840,BCM,13795335315.0,12568781619.0,14848345957.5
calm,6840,FT,9902104956.0,9197375553.0,10427801878.125
calm,6840,MT,1073664504.0,986864141.25,1243403241.75
calm,6840,ZI,1457577616.5,1123095156.75,1721703502.125
calm,6900,BCM,13580788149.0,12445844260.5,14719815274.5
calm,6900,FT,9886944181.5,9165653085.375,10379837460.375
calm,6900,MT,1159551330.75,1066272760.125,1312500678.75
calm,6900,ZI,1276171146.0,1028497980.375,1468203525.0
calm,6960,BCM,13502770560.0,12490269264.0,14771262237.75
calm,6960,FT,9835223962.5,9176110938.0,10390702667.625
calm,6960,MT,1296184020.75,1192944390.75,1441717094.25
calm,6960,ZI,1257299887.5,1024172991.0,1426684984.875
calm,7020,BCM,13455925794.0,12397038511.5,14783266224.0
calm,7020,FT,9722208177.0,9116299982.25,10412572642.875
calm,7020,MT,1367973101.25,1257025561.875,1519138992.375
calm,7020,ZI,1275151959.0,1029927511.125,1486600152.75
calm,7080,BCM,13483884564.0,12320010225.0,14831842421.25
