t,n_calls,regime
15119,0,stressed
15179,0,stressed
15239,5,stressed
15299,0,stressed
15359,5,stressed
15419,5,stressed
15479,0,stressed
15539,5,stressed
15599,5,stressed
15659,0,stressed
15719,5,stressed
15779,7,stressed
15839,0,stressed
15899,0,stressed
15959,0,stressed
16019,0,stressed
16079,0,stressed
16139,0,stressed
16199,8,stressed
16259,0,stressed
16319,0,stressed
16379,5,stressed
16439,0,stressed
16499,5,stressed
16559,5,stressed
16619,0,stressed
16679,5,stressed
16739,0,stressed
16799,5,stressed
16859,0,stressed
16919,0,stressed
16979,5,stressed
17039,5,stressed
17099,0,stressed
17159,0,stressed
17219,0,stressed
17279,0,stressed
17339,0,stressed
17399,0,stressed
17459,0,stressed
17519,5,stressed
17579,0,stressed
17639,0,stressed
17699,0,stressed
17759,0,stressed
17819,6,stressed
17879,5,stressed
17939,5,stressed
17999,0,stressed
18059,5,stressed
18119,0,stressed
18179,0,stressed
18239,5,stressed
18299,0,stressed
18359,0,stressed
18419,0,stressed
18479,0,stressed
18539,0,stressed
18599,0,stressed
18659,5,stressed
18719,0,stressed
18779,0,stressed
18839,5,stressed
18899,0,stressed
18959,0,stressed
19019,0,stressed
19079,0,stressed
19139,5,stressed
19199,4,stressed
19259,0,stressed
19319,5,stressed
19379,0,stressed
19439,5,stressed
19499,0,stressed
19559,0,stressed
19619,0,stressed
19679,0,stressed
19739,0,stressed
19799,0,stressed
19859,5,stressed
19919,5,stressed
19979,0,stressed
20039,0,stressed
20099,0,stressed
20159,0,stressed
20219,0,stressed
20279,6,stressed
20339,5,stressed
20399,0,stressed
20459,0,stressed
20519,0,stressed
20579,5,stressed
20639,5,stressed
20699,5,stressed
20759,0,stressed
20819,5,stressed
20879,0,stressed
20939,0,stressed
20999,0,stressed
21059,7,stressed
21119,0,stressed
21179,5,stressed
21239,0,stressed
21299,0,stressed
21359,0,stressed
21419,0,stressed
21479,0,stressed
21539,0,stressed
21599,0,stressed
21659,0,stressed
21719,0,stressed
21779,5,stressed
21839,0,stressed
21899,6,stressed
21959,0,stressed
22019,0,stressed
22079,0,stressed
22139,0,stressed
22199,0,stressed
22259,0,stressed
22319,5,stressed
22379,0,stressed
22439,0,stressed
22499,0,stressed
22559,0,stressed
22619,5,stressed
22679,5,stressed
22739,0,stressed
22799,5,stressed
22859,0,stressed
22919,0,stressed
22979,0,stressed
23039,0,stressed
23099,5,stressed
23159,0,stressed
23219,0,stressed
23279,0,stressed
23339,0,stressed
23399,0,stressed
23459,5,stressed
23519,5,stressed
23579,0,stressed
23639,5,stressed
23699,0,stressed
23759,0,stressed
23819,0,stressed
23879,0,stressed
23939,5,stressed
23999,0,stressed
24059,0,stressed
24119,5,stressed
24179,0,stressed
24239,5,stressed
24299,6,stressed
24359,0,stressed
24419,6,stressed
24479,0,stressed
24539,0,stressed
24599,0,stressed
24659,0,stressed
24719,5,stressed
24779,5,stressed
24839,0,stressed
24899,5,stressed
24959,0,stressed
25019,5,stressed
25079,5,stressed
25139,5,stressed
25199,5,stressed
25259,5,stressed
25319,0,stressed
25379,5,stressed
25439,0,stressed
25499,9,stressed
25559,0,stressed
25619,5,stressed
25679,0,stressed
25739,0,stressed
25799,0,stressed
25859,0,stressed
25919,5,stressed
25979,5,stressed
26039,0,stressed
26099,0,stressed
26159,0,stressed
26219,0,stressed
26279,5,stressed
26339,7,stressed
26399,0,stressed
26459,0,stressed
26519,5,stressed
26579,0,stressed
26639,0,stressed
26699,0,stressed
26759,0,stressed
26819,5,stressed
26879,5,stressed
26939,0,stressed
26999,0,stressed
27059,0,stressed
27119,5,stressed
27179,0,stressed
27239,0,stressed
27299,0,stressed
27359,0,stressed
27419,4,stressed
27479,0,stressed
27539,7,stressed
27599,0,stressed
27659,0,stressed
27719,0,stressed
27779,5,stressed
27839,0,stressed
27899,5,stressed
27959,5,stressed
28019,0,stressed
28079,0,stressed
28139,0,stressed
28199,5,stressed
28259,0,stressed
28319,5,stressed
28379,0,stressed
28439,5,stressed
28499,5,stressed
28559,5,stressed
28619,0,stressed
28679,0,stressed
28739,5,stressed
28799,0,stressed
28859,5,stressed
28919,5,stressed
