t,agent_id,mtype,capital_ratio,regime
16259,31,BCMc,0.08562058486650312,stressed
16259,32,BCMc,0.09466549554899824,stressed
16259,33,BCMc,0.15664608417411424,stressed
16259,34,BCMc,0.09255452341417031,stressed
16259,35,BCMo,0.2068272283398882,stressed
16259,36,BCMo,0.17928539165830523,stressed
16259,37,BCMo,0.18318353441042998,stressed
16259,38,BCMo,0.18272969622789448,stressed
16259,39,BCMo,0.19767217073326696,stressed
16259,100,NBCM,0.29337855687081804,stressed
16259,101,NBCM,0.4633359679886332,stressed
16259,102,NBCM,0.07583116427119424,stressed
16259,103,NBCM,0.07570459929508584,stressed
16259,104,NBCM,0.28193094441137256,stressed
16319,30,BCMc,0.10939805862888012,stressed
16319,31,BCMc,0.0867231936204598,stressed
16319,32,BCMc,0.09576679452292153,stressed
16319,33,BCMc,0.15163935284159974,stressed
16319,34,BCMc,0.0920160720117379,stressed
16319,35,BCMo,0.20835646253692097,stressed
16319,36,BCMo,0.1823481544009573,stressed
16319,37,BCMo,0.18766127359073426,stressed
16319,38,BCMo,0.18487294668772275,stressed
16319,39,BCMo,0.1987033702505656,stressed
16319,100,NBCM,0.3068637008896394,stressed
16319,101,NBCM,0.4561554470384395,stressed
16319,102,NBCM,0.07610979524522299,stressed
16319,103,NBCM,0.07586931625107896,stressed
16319,104,NBCM,0.27673752311086647,stressed
16379,30,BCMc,0.11094843046003876,stressed
16379,31,BCMc,0.08732832791347579,stressed
16379,32,BCMc,0.09774040721349826,stressed
16379,33,BCMc,0.14482858080761607,stressed
16379,34,BCMc,0.09340173020816998,stressed
16379,35,BCMo,0.20175274268218726,stressed
16379,36,BCMo,0.19264077901027826,stressed
16379,37,BCMo,0.196050939471415,stressed
16379,38,BCMo,0.19416860443922013,stressed
16379,39,BCMo,0.20615706954085752,stressed
16379,100,NBCM,0.3054931678553518,stressed
16379,101,NBCM,0.4763999547857541,stressed
16379,102,NBCM,0.0754097245077059,stressed
16379,103,NBCM,0.0754554587420004,stressed
16379,104,NBCM,0.27999594225184815,stressed
16439,30,BCMc,0.11035369927537378,stressed
16439,31,BCMc,0.08473162924106332,stressed
16439,32,BCMc,0.09679313426627827,stressed
16439,33,BCMc,0.1385453704144806,stressed
16439,34,BCMc,0.09226608687838249,stressed
16439,35,BCMo,0.20073506063986063,stressed
16439,36,BCMo,0.20126595463702782,stressed
16439,37,BCMo,0.20034997147522648,stressed
16439,38,BCMo,0.20135871613600267,stressed
16439,39,BCMo,0.19780321362906053,stressed
16439,100,NBCM,0.3086013090833936,stressed
16439,101,NBCM,0.46347272309305565,stressed
16439,102,NBCM,0.07592731911210784,stressed
16439,103,NBCM,0.07590474166466647,stressed
16439,104,NBCM,0.30424882439426487,stressed
16499,30,BCMc,0.11153497609173346,stressed
16499,31,BCMc,0.08630701684824979,stressed
16499,32,BCMc,0.09899932841585411,stressed
16499,33,BCMc,0.13421894991283706,stressed
16499,34,BCMc,0.09280819436696301,stressed
16499,35,BCMo,0.19498281695854858,stressed
16499,36,BCMo,0.20495608238889804,stressed
16499,37,BCMo,0.20490461337584676,stressed
16499,38,BCMo,0.20433946988394708,stressed
16499,39,BCMo,0.20569159376836263,stressed
16499,100,NBCM,0.29498225799423555,stressed
16499,101,NBCM,0.4675949016137938,stressed
16499,102,NBCM,0.07529410830218282,stressed
16499,103,NBCM,0.07552970139232612,stressed
16499,104,NBCM,0.31333960819383216,stressed
16559,30,BCMc,0.10972703772960206,stressed
16559,31,BCMc,0.08496253003893206,stressed
16559,32,BCMc,0.09803421577087928,stressed
16559,33,BCMc,0.1333880620548746,stressed
16559,34,BCMc,0.09473907851883287,stressed
16559,35,BCMo,0.20375641853133017,stressed
16559,36,BCMo,0.19282354060475637,stressed
16559,37,BCMo,0.1928959544673552,stressed
16559,38,BCMo,0.19432014949777845,stressed
16559,39,BCMo,0.20096579992718155,stressed
16559,100,NBCM,0.2962159702068593,stressed
16559,101,NBCM,0.45871763040792324,stressed
16559,102,NBCM,0.07595046347284051,stressed
16559,103,NBCM,0.07591844968609673,stressed
16559,104,NBCM,0.2945369405994221,stressed
16619,30,BCMc,0.10811020449786078,stressed
16619,31,BCMc,0.08549898328823251,stressed
16619,32,BCMc,0.09702290594422486,stressed
16619,33,BCMc,0.13057864143649894,stressed
16619,34,BCMc,0.0952052387736787,stressed
16619,35,BCMo,0.20636779350940815,stressed
16619,36,BCMo,0.19666542272111875,stressed
16619,37,BCMo,0.19758001034420158,stressed
16619,38,BCMo,0.20140308804522206,stressed
16619,39,BCMo,0.19853140596274912,stressed
16619,100,NBCM,0.2968164254766552,stressed
16619,101,NBCM,0.502582541964597,stressed
16619,102,NBCM,0.07636324873959878,stressed
16619,103,NBCM,0.07614534900590303,stressed
16619,104,NBCM,0.30600911277146997,stressed
16679,30,BCMc,0.10940644025600117,stressed
16679,31,BCMc,0.08654449528606843,stressed
16679,32,BCMc,0.0988019007194319,stressed
16679,33,BCMc,0.12682823679297733,stressed
16679,34,BCMc,0.09447945724351571,stressed
16679,35,BCMo,0.19596595596339436,stressed
16679,36,BCMo,0.21048961844494343,stressed
16679,37,BCMo,0.2068840623088054,stressed
16679,38,BCMo,0.2080818031871184,stressed
16679,39,BCMo,0.2090733952966883,stressed
16679,100,NBCM,0.2904008460379438,stressed
16679,101,NBCM,0.4615358194841486,stressed
16679,102,NBCM,0.0751521917647068,stressed
16679,103,NBCM,0.07542806002320712,stressed
16679,104,NBCM,0.299225265696744,stressed
16739,30,BCMc,0.11361828465175955,stressed
16739,31,BCMc,0.08581146604807069,stressed
16739,32,BCMc,0.09789447084423489,stressed
16739,33,BCMc,0.12383023440918853,stressed
16739,34,BCMc,0.09632945551279277,stressed
16739,35,BCMo,0.19987906213519596,stressed
16739,36,BCMo,0.1939183455721605,stressed
16739,37,BCMo,0.19559760733239376,stressed
16739,38,BCMo,0.19651559004924035,stressed
16739,39,BCMo,0.2104938313978442,stressed
16739,100,NBCM,0.28856808250941735,stressed
16739,101,NBCM,0.4529554900548558,stressed
16739,102,NBCM,0.07542698888690097,stressed
16739,103,NBCM,0.07559081780612975,stressed
16739,104,NBCM,0.30537314937186344,stressed
16799,30,BCMc,0.11084348079946925,stressed
16799,31,BCMc,0.08459161284156162,stressed
16799,32,BCMc,0.09631100990010906,stressed
16799,33,BCMc,0.11832855916622254,stressed
16799,34,BCMc,0.09589084908614631,stressed
16799,35,BCMo,0.2052089284028299,stressed
16799,36,BCMo,0.19786582977096487,stressed
16799,37,BCMo,0.19706758402627264,stressed
