regime,t,mtype,p50,p25,p75
calm,3059,BCMc,0.11002267132145016,0.09899199763518665,0.12559863382531072
calm,3059,BCMo,0.30420220227139627,0.2100449971961555,0.5247969884546998
calm,3059,NBCM,0.15913077080515925,0.13676584629546873,0.19554685665301944
calm,3119,BCMc,0.10938923148804759,0.09867986757978796,0.1240320915582879
calm,3119,BCMo,0.300687312132247,0.20921015916526986,0.5334179068488968
calm,3119,NBCM,0.1580133966459743,0.13656731499582642,0.19547445491508636
calm,3179,BCMc,0.1088825253573001,0.09875670236460604,0.12332545016487009
calm,3179,BCMo,0.29432097697043225,0.20280269027895415,0.5336920594126557
calm,3179,NBCM,0.15710036221687093,0.1370007330240751,0.19943986628051022
calm,3239,BCMc,0.10918114026226644,0.09869766180400368,0.12378898126416712
calm,3239,BCMo,0.2883606201343297,0.2002226291962716,0.5284150468406907
calm,3239,NBCM,0.15691538514800812,0.13606132205147822,0.19958367292144383
calm,3299,BCMc,0.10902931523234266,0.09863501111980726,0.12288507852806195
calm,3299,BCMo,0.2850384997680284,0.2031242477133698,0.5270889005080256
calm,3299,NBCM,0.1569011576286461,0.13558476595980276,0.20111939677073276
calm,3359,BCMc,0.10926021672162362,0.09872268877026136,0.12355031374312053
calm,3359,BCMo,0.27647660415619574,0.20041905809363172,0.5259303963088672
calm,3359,NBCM,0.15835484880639789,0.1369772657858217,0.20031935866385725
calm,3419,BCMc,0.10911042296519702,0.098299871192155,0.12382548112543101
calm,3419,BCMo,0.2700537519959741,0.20035340325143405,0.5107139793602771
calm,3419,NBCM,0.15630894407043094,0.13521303936550558,0.20245093926434293
calm,3479,BCMc,0.10951432854920565,0.09837308761398636,0.12404288671733227
calm,3479,BCMo,0.267059926627215,0.19995978770771228,0.5011254530402394
calm,3479,NBCM,0.15735520326057395,0.13591079337948975,0.202531428700272
calm,3539,BCMc,0.10933088366722146,0.098222807799073,0.12416819703490009
calm,3539,BCMo,0.2597769586118596,0.20177154775861222,0.49265996585878485
calm,3539,NBCM,0.15804569578838062,0.13712672364241663,0.20451882426619594
calm,3599,BCMc,0.1087494072952089,0.09795588275562589,0.12389063510743023
calm,3599,BCMo,0.25385991952524745,0.20104492816480893,0.4798383479258239
calm,3599,NBCM,0.1575978894334807,0.1365205081527893,0.20427580100628048
calm,3659,BCMc,0.11021719392174723,0.0987386861112956,0.1242405457108255
calm,3659,BCMo,0.2514375012455342,0.19771499945879165,0.47397370282015827
calm,3659,NBCM,0.1596330296298913,0.13730547827435494,0.20648924381957728
calm,3719,BCMc,0.10888052294220037,0.09834717248517151,0.12340870039235997
calm,3719,BCMo,0.2505370578825675,0.19874021721258908,0.4756177424955609
calm,3719,NBCM,0.15755311967221447,0.1361881919552613,0.20169881980765178
calm,3779,BCMc,0.10793071770092375,0.0982135085793003,0.12343527947170127
calm,3779,BCMo,0.2492219611778126,0.19875264077545204,0.4755383530171622
calm,3779,NBCM,0.15713191857320283,0.13591035598614176,0.19914095632987738
calm,3839,BCMc,0.10720843366228866,0.09787496611489144,0.12323610044129998
calm,3839,BCMo,0.24560584738981178,0.19878301816041855,0.4680457926875597
calm,3839,NBCM,0.15668543683927288,0.13641750230107652,0.19921091898991977
calm,3899,BCMc,0.10686132074901164,0.09766583285702318,0.1228348325408752
calm,3899,BCMo,0.24202714943451947,0.19937062803191288,0.4611886882577362
calm,3899,NBCM,0.15699603111769384,0.1349786438671038,0.19921466677772523
calm,3959,BCMc,0.10691613960895746,0.09789140249102664,0.12334237597123779
calm,3959,BCMo,0.2378136077821309,0.20114681060571463,0.45529918733952435
calm,3959,NBCM,0.15658416937052955,0.13467770064620965,0.20224360434995864
calm,4019,BCMc,0.10729713355819008,0.09824284832089321,0.12412824289827429
calm,4019,BCMo,0.2334906802892615,0.20002104025260595,0.44980411186362823
calm,4019,NBCM,0.15913136027248787,0.1350681925673763,0.20165465146705508
calm,4079,BCMc,0.10759818799889527,0.09807769994839588,0.12314146434621735
calm,4079,BCMo,0.22951260743428514,0.19932820260479162,0.45311698593536565
calm,4079,NBCM,0.15721369841899613,0.13574848392524852,0.20193834651941875
calm,4139,BCMc,0.10576706956023346,0.09763101777514469,0.12220725412718256
calm,4139,BCMo,0.22567571979744594,0.20055910125843454,0.43867004617798
calm,4139,NBCM,0.15479288417562126,0.13302332548842552,0.1968406285311018
calm,4199,BCMc,0.10577454389282659,0.09730772525538109,0.12177654605338915
calm,4199,BCMo,0.22583205870422846,0.19757592258407009,0.438151372046111
calm,4199,NBCM,0.15591540049119096,0.13287124785593715,0.1955533313203291
calm,4259,BCMc,0.10590847852219289,0.09698440281069276,0.1215374084311703
calm,4259,BCMo,0.22301763352463483,0.19514868041799738,0.44217890895871304
calm,4259,NBCM,0.15440985736252133,0.13377611324871774,0.19213440140764598
calm,4319,BCMc,0.10608129385372322,0.09730974571337211,0.12050892051263437
calm,4319,BCMo,0.21923782064577296,0.19568555438770574,0.4363698070306514
calm,4319,NBCM,0.15341987930287304,0.13406032849369326,0.19107346136471914
calm,4379,BCMc,0.10555727727747499,0.09653499702380947,0.11900255706056669
calm,4379,BCMo,0.21612718853194104,0.1936500558232554,0.4400055677885001
calm,4379,NBCM,0.15232457509698177,0.13207383767818343,0.19031514152448475
calm,4439,BCMc,0.10584281651755657,0.09704751169972381,0.1188825932686751
calm,4439,BCMo,0.21362622721591937,0.19705089688817978,0.44497005541488927
calm,4439,NBCM,0.15254488725629534,0.13284379289096648,0.18863302339990728
calm,4499,BCMc,0.10522445213576734,0.09638439710154321,0.11877674745100453
calm,4499,BCMo,0.20766707703561008,0.19900436255983678,0.43943725440792547
calm,4499,NBCM,0.1520920251753594,0.13240716617064022,0.18974794333840195
calm,4559,BCMc,0.10462870162701049,0.09611042832746342,0.11892552633667013
calm,4559,BCMo,0.20735350149119983,0.19985405936819492,0.4352949245424062
calm,4559,NBCM,0.15090091741396683,0.13095800627325888,0.19107352464723246
calm,4619,BCMc,0.10393726022292728,0.09602613541151912,0.11888413032132149
calm,4619,BCMo,0.20401381087674933,0.20156985592059667,0.4303611587857968
calm,4619,NBCM,0.15072642157433835,0.1307255435424698,0.19292126001479054
calm,4679,BCMc,0.10326411805008917,0.09565679940700232,0.11891695585566761
calm,4679,BCMo,0.20257869587999522,0.20033896294057235,0.4301458828031476
calm,4679,NBCM,0.14962827560056574,0.13007140334785677,0.19017347677497415
calm,4739,BCMc,0.10347699478604257,0.09573116800331588,0.11930531734214454
calm,4739,BCMo,0.20097730374513767,0.1994681178493591,0.4236161086694543
calm,4739,NBCM,0.15116018000363277,0.13072473947101565,0.18941855999486024
calm,4799,BCMc,0.10392435732577646,0.09576165274428791,0.11977596151837364
calm,4799,BCMo,0.20104225388767744,0.19927314879044855,0.4152247561426257
calm,4799,NBCM,0.15111542248949894,0.13101308021647642,0.18835298513153778
calm,4859,BCMc,0.10325446971545285,0.09532385781928636,0.11884022658450423
calm,4859,BCMo,0.2013431449591357,0.20085409022459083,0.4207472559077604
calm,4859,NBCM,0.14981083873338075,0.12949858892187277,0.18705741872385404
calm,4919,BCMc,0.10349843027248262,0.09587208421540225,0.11919546992881172
calm,4919,BCMo,0.20626211026054392,0.19602155190032097,0.41478742365554583
calm,4919,NBCM,0.15057461676665684,0.12984529366390868,0.18895223852243795
calm,4979,BCMc,0.10314976232483365,0.0954508513531522,0.11768688800281507
calm,4979,BCMo,0.20974933150058078,0.19530036150894328,0.4218083611109104
calm,4979,NBCM,0.14896039087523782,0.12933490067486014,0.18710778567195027
calm,5039,BCMc,0.10307935476507335,0.09521056000370257,0.1175099380765418
calm,5039,BCMo,0.21246389300114937,0.19303054967819955,0.422689054343929
calm,5039,NBCM,0.1486553926201592,0.12929576060855713,0.18618700267582305
calm,5099,BCMc,0.1038476827647625,0.09504406647564569,0.11669968392718001
calm,5099,BCMo,0.2133459933485006,0.19216158059841976,0.41580367132733004
calm,5099,NBCM,0.14924157967232854,0.1279729687105221,0.18318936095472282
calm,5159,BCMc,0.10350704332524002,0.0949184566351994,0.11643636385099702
calm,5159,BCMo,0.21239800942221965,0.19298874971032617,0.41422908647369333
calm,5159,NBCM,0.14901089067751203,0.1278020960395281,0.18197004688204726
calm,5219,BCMc,0.10445188279682091,0.09505828604094911,0.11677469228816009
calm,5219,BCMo,0.20913702660464184,0.19547186447196319,0.4109822790900953
calm,5219,NBCM,0.1493096417886841,0.12896703468965068,0.18321874540669378
calm,5279,BCMc,0.1035921522938074,0.09468397823173315,0.11741728498563823
calm,5279,BCMo,0.21786713542808045,0.18632378364966495,0.39711166184075897
calm,5279,NBCM,0.14936196004815233,0.12754306860371484,0.18290621977578478
calm,5339,BCMc,0.1037476026560476,0.09416587353934475,0.11727218976374591
calm,5339,BCMo,0.22126662914209763,0.18254753867604273,0.40194224785931876
calm,5339,NBCM,0.14749239367567796,0.1264161139000897,0.1820314542635082
calm,5399,BCMc,0.10341810981418975,0.09400713992489813,0.11750262157997751
calm,5399,BCMo,0.22415431096620397,0.1810359194064332,0.3925337372102924
calm,5399,NBCM,0.1482649074723344,0.12651594705216584,0.179897986413706
calm,5459,BCMc,0.10371913489824078,0.09362551479480533,0.11695591626645087
calm,5459,BCMo,0.2248939807107322,0.1799028488938178,0.3918637844758017
calm,5459,NBCM,0.148542636602019,0.12694536585585037,0.18055707027625206
calm,5519,BCMc,0.10346954372795672,0.09324234579611748,0.11647510580362974
calm,5519,BCMo,0.22337265226105069,0.1815896148689131,0.3957992677119812
calm,5519,NBCM,0.14808184972047883,0.12526779241805816,0.180239660763276
calm,5579,BCMc,0.10423467084378855,0.09387609274150077,0.1162709979364159
calm,5579,BCMo,0.219814612716767,0.18422710081835694,0.39541862653238835
calm,5579,NBCM,0.14890232734557213,0.1257543531340935,0.18189353270551645
calm,5639,BCMc,0.10489557838333505,0.09466280742869485,0.11697984193986939
calm,5639,BCMo,0.2148701813472485,0.18682310041799158,0.3909032272390557
calm,5639,NBCM,0.15116521068125766,0.12710636574700848,0.1848447366778629
calm,5699,BCMc,0.10478272742514069,0.09411651482199643,0.11738404570709926
calm,5699,BCMo,0.21589862397070425,0.18690737172776248,0.3972001954337569
calm,5699,NBCM,0.15068279372980775,0.12563635099099027,0.18311841494922423
calm,5759,BCMc,0.10439527213278416,0.09345401762892415,0.11850546925281617
calm,5759,BCMo,0.2237236900660397,0.18288506948858502,0.41445278413309683
calm,5759,NBCM,0.14964955481785058,0.12595641102400335,0.18065838949881596
calm,5819,BCMc,0.10487249258718925,0.09411034296486076,0.1180010086273288
calm,5819,BCMo,0.2145071502961698,0.18803558205724513,0.4059082057942867
calm,5819,NBCM,0.15073334804785107,0.12410773758825078,0.18235268595466259
calm,5879,BCMc,0.10445819752218638,0.09430382930699832,0.11721017683029175
calm,5879,BCMo,0.2085020103512683,0.192103935439876,0.3983070599839012
calm,5879,NBCM,0.14952799883490792,0.12388212026837978,0.17890017240786668
calm,5939,BCMc,0.10365660418087341,0.09356687750442047,0.1167594273947048
calm,5939,BCMo,0.20284494691519242,0.19387972242136278,0.39257094673298654
calm,5939,NBCM,0.1487882984308898,0.12339805434379632,0.17944251519106058
calm,5999,BCMc,0.10363470724928098,0.09338716135289775,0.11728614510501861
calm,5999,BCMo,0.20097954162944573,0.19476979738362626,0.38543662389715155
calm,5999,NBCM,0.15004177693199344,0.12506311667792158,0.179033417523617
calm,6059,BCMc,0.10366242348470238,0.0927583350329555,0.11652966816742003
calm,6059,BCMo,0.20138505392850453,0.1959861168739074,0.3838189010384831
calm,6059,NBCM,0.14879456496832966,0.12412096545390723,0.17986445211039342
calm,6119,BCMc,0.10382682745370911,0.09363331614394012,0.11688327708317028
calm,6119,BCMo,0.20749667328342314,0.1974919580492348,0.37622657819454086
calm,6119,NBCM,0.14896336001601818,0.12372581159051273,0.18073286925044804
calm,6179,BCMc,0.10290147631738869,0.09255878112332647,0.11562421147962158
calm,6179,BCMo,0.20580871781540527,0.19887538261721904,0.37033133739255863
calm,6179,NBCM,0.1471396589782934,0.1229143629690064,0.1780010701527222
calm,6239,BCMc,0.10237859226681764,0.0917339090240041,0.11487849765274419
calm,6239,BCMo,0.2034970815905224,0.19869693643422082,0.3600125615916938
calm,6239,NBCM,0.14646458618600572,0.12252373324826185,0.17687078362207864
calm,6299,BCMc,0.10216580083047508,0.09192134544509754,0.1155032985892536
calm,6299,BCMo,0.20161764995520415,0.19918878720261696,0.35234572291741634
calm,6299,NBCM,0.14662162400106504,0.1230813209731788,0.17715509994417708
calm,6359,BCMc,0.10219837497075893,0.09177224615381686,0.11484673385540317
calm,6359,BCMo,0.20090574562726665,0.19975502809575757,0.3492838298655442
calm,6359,NBCM,0.14544992784671967,0.12228216198217075,0.1760158729413368
calm,6419,BCMc,0.10197604622320466,0.09160115120600018,0.11459718218485358
calm,6419,BCMo,0.20139606634556634,0.20075310937626478,0.3496317251590334
calm,6419,NBCM,0.14524312080697982,0.12262474180666616,0.1753668942881298
calm,6479,BCMc,0.10155768756466058,0.09159988860823824,0.1140142444938483
calm,6479,BCMo,0.20271324568283006,0.2019962544048654,0.34463682271644186
calm,6479,NBCM,0.14322522819985145,0.12228426422790323,0.17315028903826393
calm,6539,BCMc,0.10147094084182892,0.09171066862085249,0.11425649346328273
calm,6539,BCMo,0.2007612424437934,0.19798481242387145,0.3374881329611849
calm,6539,NBCM,0.1434192167374747,0.12389362581511157,0.17413798706283184
calm,6599,BCMc,0.10150613364540334,0.09209573042927285,0.11478948692050964
calm,6599,BCMo,0.20200067863630172,0.1994768628132779,0.33323900151089836
calm,6599,NBCM,0.14366233156360714,0.12367616815880253,0.17487923821471038
calm,6659,BCMc,0.10310151869298638,0.09355013854196877,0.11577564458062278
calm,6659,BCMo,0.20117273856941004,0.19997463660906536,0.32906356373727197
calm,6659,NBCM,0.1464437752832177,0.1258399877908654,0.1781391445873759
calm,6719,BCMc,0.10192024781365523,0.09262441085096423,0.11538863533382945
calm,6719,BCMo,0.20016756086893606,0.1987622275668059,0.33036151625913623
calm,6719,NBCM,0.14478332522540502,0.12414440082942145,0.1762743215720433
calm,6779,BCMc,0.10186342073316183,0.09284430971520008,0.11572844216083537
calm,6779,BCMo,0.20079585512686865,0.19976082101759196,0.3262031212647413
calm,6779,NBCM,0.145169519085094,0.12497653603429565,0.1753509285168629
calm,6839,BCMc,0.10116998665579463,0.0918979069590059,0.11466671760164311
calm,6839,BCMo,0.200266184669128,0.19853832399087884,0.3273777471531951
calm,6839,NBCM,0.14343328049315207,0.12355728796305565,0.17109830137836984
calm,6899,BCMc,0.10122359476483439,0.09185256599000602,0.11599076131432888
calm,6899,BCMo,0.2134706860675622,0.1882969547164551,0.33310854044321775
calm,6899,NBCM,0.14602878864739055,0.1251708420276825,0.1743012770307093
calm,6959,BCMc,0.10076083438866565,0.09181045362047001,0.11574848164560118
calm,6959,BCMo,0.2146092259518242,0.18680083663645994,0.32994084426036585
calm,6959,NBCM,0.14383466833283487,0.12390506508121239,0.17346443251860783
calm,7019,BCMc,0.101061582796598,0.0919454994614704,0.11572623855369053
calm,7019,BCMo,0.21449530465352976,0.18677484815665585,0.32521817740123204
calm,7019,NBCM,0.14419016826860992,0.12445549197672283,0.17211566375575713
calm,7079,BCMc,0.10034615841987829,0.0913735837844246,0.11526157760807457
calm,7079,BCMo,0.2105315806421435,0.18906995523251832,0.32623194058226634
calm,7079,NBCM,0.142512130724999,0.12246392031054651,0.17052582536211516
calm,7139,BCMc,0.10071275213610893,0.09168853232661331,0.11414072324096561
calm,7139,BCMo,0.2043333342067088,0.19213150074228277,0.3244937061181818
calm,7139,NBCM,0.1436036602755424,0.12264584134282554,0.17048186486111716
calm,7199,BCMc,0.10066461251059383,0.09144013849502505,0.11427438556918612
calm,7199,BCMo,0.20157568875233361,0.19419724479343972,0.3211883138509964
calm,7199,NBCM,0.14284824442696642,0.12225839173000824,0.1721231762819638
calm,7259,BCMc,0.10081684012798428,0.09177115390756752,0.11503032763375509
calm,7259,BCMo,0.2068528786096181,0.19108775510340772,0.32821945170545663
calm,7259,NBCM,0.14488070584117432,0.12290139096176489,0.17285841691516324
calm,7319,BCMc,0.10102229248791751,0.09148085157253572,0.11461709569356927
calm,7319,BCMo,0.2007724855034304,0.19460631407544265,0.3231674492089156
calm,7319,NBCM,0.14574505166759205,0.12326415166880958,0.17241511042734065
calm,7379,BCMc,0.09978646571129679,0.09044457610536676,0.11348891486607549
calm,7379,BCMo,0.20146665511372874,0.19602223058003737,0.31466747575572285
calm,7379,NBCM,0.14372545512336504,0.12123491822749846,0.1682945978602635
calm,7439,BCMc,0.0991212766604935,0.09030204773986034,0.11289133419077235
calm,7439,BCMo,0.20071890101085782,0.19722722660859893,0.3075432392971385
calm,7439,NBCM,0.1408838813613002,0.11995641554095139,0.16586056061169702
calm,7499,BCMc,0.09998844219697993,0.09048241646207031,0.1130169118230509
calm,7499,BCMo,0.20083024052594386,0.19863071270312932,0.3034041957842686
calm,7499,NBCM,0.14096550990679907,0.11973205081808064,0.16657772885470193
calm,7559,BCMc,0.09921933533328192,0.0904329785378265,0.11256184009661156
calm,7559,BCMo,0.2005086880783955,0.1991937437818681,0.30284487225345513
calm,7559,NBCM,0.1396722721641745,0.11940745072741116,0.16506636776861783
calm,7619,BCMc,0.0986625343997241,0.09048481619875834,0.11211419124479505
calm,7619,BCMo,0.20128782442839432,0.19940392301890408,0.30430925883589105
calm,7619,NBCM,0.13930179796276185,0.1182336195068964,0.16397556105906
calm,7679,BCMc,0.09899792433716922,0.09077729236257095,0.11242320339276383
calm,7679,BCMo,0.20105330835820187,0.19884249661787234,0.30132986675208756
calm,7679,NBCM,0.14002481347784923,0.11952109228989849,0.16522356044074243
calm,7739,BCMc,0.09807852398522277,0.09050597252581691,0.1115572845098981
calm,7739,BCMo,0.2032975317686655,0.20126801213880557,0.2970912174982243
calm,7739,NBCM,0.13858194777021143,0.11854037606818771,0.1635151228429887
calm,7799,BCMc,0.09743283535515113,0.08970708631653332,0.11012397951640698
calm,7799,BCMo,0.20453340995887465,0.2038390824973854,0.28877091282548567
calm,7799,NBCM,0.1362720719612304,0.11675917930611548,0.16170818304284504
