regime,t,p50,p25,p75,im_frac
calm,10859,20182869693.0,19422486000.0,21327048445.5,0.04
calm,10919,20167213734.0,19438817953.5,21355115906.25,0.04
calm,10979,20172871048.5,19397750240.25,21257968974.75,0.04
calm,11039,20222872078.5,19459146046.5,21302566533.0,0.04
calm,11099,20201117413.5,19476641430.0,21350929050.0,0.04
calm,11159,20165050224.0,19385461561.5,21252598380.0,0.04
calm,11219,20234227549.5,19434730396.5,21364310232.0,0.04
calm,11279,20090537262.0,19312051430.25,21228897476.25,0.04
calm,11339,20216406195.0,19378367822.25,21171947330.25,0.04
calm,11399,20376101605.5,19500458832.0,21276962752.5,0.04
calm,11459,20510780269.5,19624594108.5,21403362827.25,0.04
calm,11519,20312389858.5,19542247762.5,21346423978.5,0.04
calm,11579,20338251786.0,19512671305.5,21286394730.0,0.04
calm,11639,20237148067.5,19458391520.25,21249838815.75,0.04
calm,11699,20423438613.0,19562297719.5,21265249576.5,0.04
calm,11759,20364679777.5,19503024423.75,21308091187.5,0.04
calm,11819,20386259766.0,19530703377.0,21472698892.5,0.04
calm,11879,20481777823.5,19724305135.5,21564728860.5,0.04
calm,11939,20519389921.5,19738878097.5,21596001997.5,0.04
calm,11999,20362119844.5,19656575552.25,21472417242.0,0.04
calm,12059,20580179692.5,19753650195.75,21486930331.5,0.04
calm,12119,20603987703.0,19789009362.0,21569852873.25,0.04
calm,12179,20723616040.5,19759092108.75,21600834243.75,0.04
calm,12239,20705672011.5,19809290157.75,21629400313.5,0.04
calm,12299,20669948019.0,19851641466.75,21605923714.5,0.04
calm,12359,20417134464.0,19429921433.25,21439386180.0,0.04
calm,12419,20363332108.5,19532779627.5,21504281004.0,0.04
calm,12479,20348184298.5,19500360369.75,21556551584.25,0.04
calm,12539,20353162162.5,19495753481.25,21523878843.75,0.04
calm,12599,20565172858.5,19688530531.5,21718973335.5,0.04
calm,12659,20357489191.5,19498033577.25,21645777453.75,0.04
calm,12719,20412962964.0,19487828031.75,21697482237.75,0.04
calm,12779,20368223667.0,19447084401.75,21741001746.75,0.04
calm,12839,20453758735.5,19523340330.75,21931598346.75,0.04
calm,12899,20508917386.5,19602230400.0,21999595194.0,0.04
calm,12959,20241359595.0,19367059365.0,21602487766.5,0.04
calm,13019,20440749658.5,19490597007.75,21802651875.0,0.04
calm,13079,20342232810.0,19372519001.25,21712243792.5,0.04
calm,13139,20462849599.5,19511930736.0,21844566753.75,0.04
calm,13199,20252820262.5,19337976639.0,21600174705.75,0.04
calm,13259,20126117871.0,19244837412.0,21400960542.75,0.04
calm,13319,20156389060.5,19255973980.5,21480037481.25,0.04
calm,13379,19990019241.0,19230602355.0,21416495634.0,0.04
calm,13439,20208746407.5,19381941369.0,21580182184.5,0.04
calm,13499,20128116267.0,19359496035.0,21611587846.5,0.04
calm,13559,20292105856.5,19532677284.0,21759573327.75,0.04
calm,13619,20106278082.0,19319532102.0,21662630851.5,0.04
calm,13679,20066717430.0,19215249536.25,21467196623.25,0.04
calm,13739,20205989217.0,19338508032.75,21687551707.5,0.04
calm,13799,20076598543.5,19121028768.0,21496646535.75,0.04
calm,13859,20237992159.5,19321750552.5,21638002169.25,0.04
calm,13919,20360742966.0,19429048359.0,21743691840.0,0.04
calm,13979,20276964517.5,19347986612.25,21641784356.25,0.04
calm,14039,20330174731.5,19493808261.75,21704582520.0,0.04
calm,14099,20305354747.5,19496209965.75,21658323685.5,0.04
calm,14159,20356850817.0,19574131133.25,21631486144.5,0.04
calm,14219,20552698287.0,19807104933.0,21881896213.5,0.04
calm,14279,20293054650.0,19472162528.25,21698296069.5,0.04
calm,14339,20055051549.0,19244482895.25,21501144636.75,0.04
calm,14399,20175223032.0,19374399355.5,21695800347.0,0.04
calm,14459,20152468332.0,19380671203.5,21645863246.25,0.04
calm,14519,20087059198.5,19374983268.75,21392249202.0,0.04
calm,14579,20128352080.5,19264092894.0,21400804620.0,0.04
calm,14639,20229436408.5,19312104908.25,21446828253.0,0.04
calm,14699,20219368756.5,19244480161.5,21351053189.25,0.04
calm,14759,20061097371.0,19061607546.0,21220044174.0,0.04
calm,14819,19890110254.5,19113376794.75,21201423608.25,0.04
calm,14879,20131344211.5,19258135872.75,21476002657.5,0.04
calm,14939,19989460467.0,19300734731.25,21465793563.75,0.04
calm,14999,19791303579.0,19252242553.5,21345312433.5,0.04
calm,15059,19686227944.5,19166302847.25,21244436412.75,0.04
calm,15119,19903021308.0,19249726437.0,21421588018.5,0.04
calm,15179,20064522384.0,19273279218.75,21555530932.5,0.04
calm,15239,20119691574.0,19328842242.0,21622438905.75,0.04
calm,15299,20195007619.5,19170666393.75,21691431774.0,0.04
calm,15359,20166197908.5,19146871813.5,21727721727.0,0.04
calm,15419,20147029186.5,19149447154.5,21717533952.0,0.04
calm,15479,20112692112.0,19182619536.75,21684854009.25,0.04
calm,15539,20112837529.5,19148293660.5,21682963176.75,0.04
calm,15599,20121661399.5,19059432914.25,21601533107.25,0.04
calm,15659,20282580526.5,19127551653.0,21777970531.5,0.04
calm,15719,20426044792.5,19301809527.0,22015864973.25,0.04
calm,15779,20367252850.5,19304400282.75,21889116254.25,0.04
calm,15839,20326120078.5,19272124147.5,21775849821.0,0.04
calm,15899,20384114121.0,19515725244.0,22007054727.0,0.04
calm,15959,20248101765.0,19525454939.25,21832079222.25,0.04
calm,16019,20289908358.0,19604267779.5,21725239684.5,0.04
calm,16079,20194817337.0,19316688939.0,21541188485.25,0.04
calm,16139,20179977309.0,19450798987.5,21523746966.75,0.04
calm,16199,20151404118.0,19466319465.0,21445729515.0,0.04
calm,16259,20068513132.5,19318487296.5,21334116208.5,0.04
calm,16319,20163110931.0,19381744221.75,21587391702.0,0.04
calm,16379,20218014423.0,19299502667.25,21631563090.0,0.04
calm,16439,20387839234.5,19405138009.5,21949623227.25,0.04
calm,16499,20272582786.5,19424824674.75,21833959212.0,0.04
calm,16559,20225122965.0,19367175667.5,21613847006.25,0.04
calm,16619,20306266731.0,19395701876.25,21904201939.5,0.04
calm,16679,20224480464.0,19300472484.75,21818703721.5,0.04
calm,16739,20272883404.5,19263601791.0,21626164795.5,0.04
calm,16799,20282382562.5,19333535773.5,21532081527.0,0.04
calm,16859,20366623926.0,19317615039.0,21723669767.25,0.04
calm,16919,20464532244.0,19372712220.0,21849616086.75,0.04
calm,16979,20344816665.0,19401780532.5,21696894744.75,0.04
calm,17039,20233347831.0,19414006776.0,21629882884.5,0.04
calm,17099,20424144951.0,19481253115.5,21926748813.75,0.04
calm,17159,20477080161.0,19659122133.75,21863775285.0,0.04
calm,17219,20155490550.0,19243055081.25,21514603387.5,0.04
calm,17279,20114002768.5,19326955367.25,21451008937.5,0.04
calm,17339,20290768159.5,19376810086.5,21499319702.25,0.04
calm,17399,20031804486.0,19332089498.25,21288958375.5,0.04
calm,17459,20248243357.5,19394628876.0,21494069563.5,0.04
calm,17519,20193182478.0,19361248803.0,21588660308.25,0.04
calm,17579,20219918661.0,19423908526.5,21660790540.5,0.04
