regime,seed,cm_defaults,nbcm_defaults,client_defaults,im_mean,total_df,n_margin_calls,client_im_share
stressed,94,0,0,3,29176588998.239048,4898200129.888014,1522,0.5008654976905236
stressed,95,0,0,2,29209057754.989788,4565015760.776257,1479,0.44947943210359576
stressed,96,0,0,10,29344886821.21288,5234220309.4507885,1526,0.43132404552849696
stressed,97,0,0,15,28004286196.028057,4515034990.891796,1493,0.4531052236708338
stressed,98,0,1,5,25585717685.67919,3779881630.752533,1510,0.44688666905495733
stressed,99,0,0,13,28616552994.89554,4770316518.086476,1445,0.507636210030546
stressed,100,0,0,13,27397649197.605534,4435746447.603192,1413,0.6041806001085778
stressed,101,0,0,14,29639033748.345314,3952916787.6348724,1491,0.39630659038340055
stressed,102,0,0,11,28575510521.32289,3571568875.8259525,1379,0.5518433986828505
stressed,103,0,0,11,26745104453.632057,3994180359.1905947,1542,0.45224304321650394
stressed,104,0,0,9,29077837259.82424,5302055366.073981,1448,0.637711943658192
stressed,105,0,2,17,26592749108.57767,5386027075.588931,1373,0.6542622105145569
stressed,106,0,0,10,30519641057.65249,4701582460.138908,1433,0.4926798356731862
stressed,107,0,0,6,28028942060.476456,4067422399.837925,1556,0.44471554192136054
stressed,108,0,1,8,28022609751.898453,3778293136.07592,1386,0.4854505984857925
stressed,109,0,0,8,27127105142.298878,4067880143.288113,1539,0.4457439364322625
stressed,110,0,0,8,29108954476.745636,3853579783.1276813,1479,0.4367685425967392
stressed,111,0,0,8,27598260808.72343,4176873959.205162,1480,0.4920711331692419
stressed,112,0,0,6,26133299863.223324,5473553278.607298,1526,0.5714069079875205
stressed,113,0,1,4,29141539161.491856,4282371343.7397666,1459,0.47740279227328813
stressed,114,0,0,2,29756598402.768982,6616487119.06855,1462,0.5595748448754313
stressed,115,0,0,12,29078309825.202778,3915103337.6267343,1460,0.46847650036838634
stressed,116,0,1,8,27410951582.24735,4568969935.608888,1392,0.5263037972810753
stressed,117,0,0,6,28665378884.177628,3832224176.314485,1555,0.45769201508254426
stressed,118,0,2,11,32626315947.988792,5584331577.187751,1498,0.42191384674185034
stressed,119,0,0,7,31782942681.191082,5402382567.055738,1355,0.6129517399696267
stressed,120,0,0,7,26550035528.836292,4243905593.289266,1567,0.38118192679818286
stressed,121,0,0,10,27752641034.755707,3680847284.844477,1404,0.46048552278909
stressed,122,0,0,7,30353874784.01629,3898341883.994608,1479,0.5081433784958586
stressed,123,0,1,6,27873156605.43407,3943584170.969388,1414,0.560064430565275
stressed,124,0,0,7,29663419778.528522,5129933747.090298,1476,0.4469670058578085
stressed,125,0,0,5,29000905987.520325,4860155370.283861,1496,0.5493582885766148
stressed,126,0,0,4,29233550528.71433,5151920720.383873,1365,0.5825334212427116
stressed,127,0,0,9,25781905985.135036,4603766674.136044,1495,0.4850293777959471
stressed,128,0,1,11,28096508070.681602,3798860115.9278593,1554,0.3918417730846042
stressed,129,0,0,9,27256540157.483864,4571342440.508466,1401,0.5849299076989184
stressed,130,0,0,3,27208670219.5482,4788739608.997925,1404,0.6002586028638207
stressed,131,0,0,15,27584439232.168713,4609679912.975408,1448,0.5226931221242843
stressed,132,0,0,7,31082879404.557938,5477639312.147574,1411,0.48637098533134265
stressed,133,0,0,9,28544803391.40112,4971888653.806167,1487,0.5465277503752061
stressed,134,0,1,4,28495050518.652664,4696046162.117011,1392,0.5607472309626923
stressed,135,0,1,12,30319321959.60087,4548966838.8622,1441,0.4791573995725179
stressed,136,0,0,10,26699988057.31498,4475834635.145619,1558,0.5672964728866452
stressed,137,0,0,10,27359374361.98215,4349473905.946222,1395,0.5388582102515872
stressed,138,0,0,2,28891700190.204777,4712990485.206087,1514,0.42342904727901
stressed,139,0,0,11,32991549477.702126,3650968706.4651904,1454,0.47852389003398726
stressed,140,0,0,8,29030263191.03482,4002099431.602855,1483,0.48737219856153974
stressed,141,0,0,11,29429733928.92836,5298196394.471488,1446,0.5878738910998755
