ft_sigma_c,zi_alpha,zi_delta,p_zi,zi_mu,D,dKS,dV,dACF1,dACF2,dHill,ret_std,ret_kurtosis,acf_r_1,acf_r_5,acf_r_10,acf_r_20,acf_absr_1,acf_absr_5,acf_absr_10,acf_absr_20,hill_tail_index,ks_stat
0.25,0.08,0.32,0.08,0.15,29.10834715406731,14.92096044741984,4.645976879994317,4.104656598147821,2.90448856624076,2.532264662264574,0.0017481006710827966,18.466835544143034,-0.09160945637044633,-0.0024607158800898812,0.0005868783690257284,-0.004250209036790403,0.35292825202215944,0.2685366872735226,0.2370471241558658,0.24108146761139507,3.0657306246555334,0.1366448200528918
0.25,0.08,0.32,0.18,0.0125,21.188751245801914,11.041309843033495,1.9775985031128736,3.731321001531918,3.1533604779732967,1.28516142015033,0.0014532484317829131,81.10045783031481,-0.07943605839706323,0.0025439493734066825,0.004109767536259361,-0.0042251367600708726,0.3644965384975272,0.26089950814195456,0.22593221785520431,0.22339686720966334,2.574942617580804,0.10111532712429572
0.25,0.08,0.32,0.18,0.058333333333333334,21.709981267963276,11.021221037314985,2.668251214958241,3.6628536362206585,2.8305442000759786,1.5271111793934127,0.0015295646320753694,45.36461549183133,-0.08148421268113887,0.0034107158365394553,0.0015252717643466553,-0.006497452548862907,0.3753631827757881,0.2732788259799755,0.2328830053172639,0.23584974305454418,2.5438363073111354,0.10093135563987576
0.25,0.08,0.32,0.18,0.10416666666666666,22.428902265160346,10.95091021730022,3.0120925275049277,3.6507274795433644,2.592942879832311,2.222229160979525,0.0015675586369161252,44.25153959377914,-0.08083702387802076,0.0023720702994695577,0.0019067418933876913,-0.0047237812036136735,0.3800988075454044,0.28170878257635684,0.24683556174628188,0.2424028338293314,2.45446835060439,0.10028745544440609
0.25,0.08,0.32,0.18,0.15,20.538070490149636,10.49137878648941,2.7816637350671214,3.3585943299561514,2.1564343932038663,1.7499992454330895,0.0015420965637565982,37.421541963765684,-0.07550072197008352,-0.0014400121512165584,0.004193318475711372,-0.004938420405689918,0.3677399964423112,0.2894933262334424,0.2617722558176568,0.2543199342300937,2.515180666737958,0.09607910773830053
0.25,0.08,0.32,0.27999999999999997,0.0125,22.812870268232306,9.921358924226826,1.525718577760893,3.933394002159126,4.374469621202162,3.0579291428833,0.0014033163048255616,86.27835979695024,-0.087905284559179,-0.0031515861251951278,0.004870768431198397,-0.006890440209856015,0.4000912419003659,0.2470506678018236,0.20184293856384428,0.1699335388814586,2.3470264460917347,0.0908589168678855
0.25,0.08,0.32,0.27999999999999997,0.058333333333333334,21.814647890637715,9.784503935269514,2.147672407719946,3.971233428072531,3.7476792775039005,2.1635588420718204,0.0014720413706158521,69.64095925232803,-0.08386439774440936,0.004174064632208036,0.0030756678052531374,-0.0037305614683034467,0.3651493449343944,0.24387072956170608,0.2096962950761101,0.197667049619861,2.4620113097264524,0.08960561113027488
0.25,0.08,0.32,0.27999999999999997,0.10416666666666666,21.64998224394555,9.809614942417637,2.741811141576577,3.649492777914122,3.2502088799185547,2.198854502118664,0.0015376929055144234,57.60422874141663,-0.08348331403113712,-0.0010608588409679557,0.0008236380040839659,-0.005639676302928554,0.3653680826927477,0.25644163304847684,0.22569000471784376,0.21766885316876042,2.457473517434265,0.08983557548579968
0.25,0.08,0.32,0.27999999999999997,0.15,20.264901151185043,9.346316860534607,2.6426079856557503,3.8609860994337297,2.8295381009812273,1.5854521045797296,0.001526731089558226,52.105403706819786,-0.08167326233105966,0.0025676743237015454,0.0041464577186064965,-0.003719514537903132,0.3631338471786593,0.27240478255597617,0.24255694396899782,0.22941300180205204,2.5363356967466015,0.0855927331263654
0.25,0.08,0.32,0.38,0.0125,24.68064641009326,10.454967826124621,1.3529259268071658,4.104020606607774,5.2399102157640405,3.5288218347896594,0.001384222948160075,113.8417005064985,-0.0883256724575849,0.0010183563018072753,-0.002507908234261853,-0.006394432403498448,0.3793123794181008,0.20822662627882382,0.1639880552923222,0.1375655262367487,2.2864860503336124,0.09574565942278945
0.25,0.08,0.32,0.38,0.058333333333333334,22.977027133187896,9.812126043132448,2.1614893062326193,4.243372310115495,4.163504201422518,2.5965352722848154,0.0014735681194090282,62.231037163498726,-0.08837707104295132,0.003728259238822211,0.005358477685760701,-0.010265230877355789,0.3729325901783623,0.22902578352769587,0.1949948357070831,0.18367143942847983,2.406345624338737,0.08985857192135216
0.25,0.08,0.32,0.38,0.10416666666666666,21.735685638712155,9.304883698740195,2.4300379241806405,4.028096338961374,3.4208836172752815,2.5517840595546617,0.0015032423822680325,47.30601001481783,-0.08265418619798445,0.00325448102604039,0.003914667970746479,-0.0013188069260880696,0.3828869548218014,0.2598195124574591,0.22365108678895504,0.2092160384412752,2.4120990713042683,0.08521329193974936
