path,t,client_id,kind,cm_id,cm_kind,shortfall,closeout_loss,im_posted,assumed_pos
32,12899,41,MomentumTrader,100,NBCM,0.0,0.0,313386836.5469883,-564
32,12899,44,MomentumTrader,103,NBCM,0.0,0.0,360061471.7773908,-648
32,12959,63,ZeroIntelligenceTrader,31,BCM,0.0,0.0,128830080.41904336,-219
32,12959,43,MomentumTrader,32,BCM,0.0,0.0,378842793.56102246,-644
32,12959,50,MomentumTrader,33,BCM,0.0,0.0,509993342.89964885,-863
32,12959,51,MomentumTrader,34,BCM,0.0,0.0,441198905.54466903,-750
32,12959,99,ZeroIntelligenceTrader,34,BCM,0.0,0.0,77651007.37586175,-132
32,12959,45,MomentumTrader,102,NBCM,0.0,0.0,318839742.4069475,-542
32,13079,40,MomentumTrader,33,BCM,0.0,0.0,472046076.2466327,-768
32,13199,54,MomentumTrader,31,BCM,0.0,0.0,409558845.5416074,-654
32,13199,53,MomentumTrader,101,NBCM,0.0,0.0,340672801.1844563,-544
33,14759,19,FundamentalTrader,34,BCM,0.0,0.0,291921986.41465724,1054
34,13319,20,FundamentalTrader,33,BCM,0.0,0.0,198786826.3960538,506
34,13319,19,FundamentalTrader,34,BCM,0.0,0.0,315858909.92574555,804
35,9779,20,FundamentalTrader,33,BCM,0.0,0.0,217323937.87226808,794
35,9779,19,FundamentalTrader,34,BCM,0.0,0.0,316679843.9775997,1157
35,9779,3,FundamentalTrader,34,BCM,0.0,0.0,209112705.96273655,764
35,9779,23,FundamentalTrader,102,NBCM,0.0,0.0,115778369.9243947,423
35,10979,26,FundamentalTrader,32,BCM,0.0,0.0,214466959.38119957,838
35,10979,9,FundamentalTrader,101,NBCM,0.0,0.0,104930135.25810482,410
35,11339,21,FundamentalTrader,32,BCM,0.0,0.0,104807166.940006,410
35,12599,8,FundamentalTrader,33,BCM,0.0,0.0,409668846.1717616,1667
35,12659,29,FundamentalTrader,33,BCM,0.0,0.0,350336320.49007493,1444
36,8099,19,FundamentalTrader,34,BCM,0.0,0.0,416967922.57374805,1302
36,10079,20,FundamentalTrader,33,BCM,0.0,0.0,179971843.7433306,578
36,12119,23,FundamentalTrader,102,NBCM,0.0,0.0,83361332.0830293,302
36,12839,68,ZeroIntelligenceTrader,33,BCM,0.0,0.0,54908446.94600667,-179
36,12899,77,ZeroIntelligenceTrader,30,BCM,0.0,0.0,38031957.09680187,-78
36,12899,56,MomentumTrader,31,BCM,0.0,0.0,319468439.61313564,-893
36,12899,87,ZeroIntelligenceTrader,31,BCM,0.0,0.0,51516014.61294071,-144
